index,season,matchday,team1,team2
0,2122,1,Empoli,Lazio
1,2122,1,Verona,Sassuolo
2,2122,1,Inter,Genoa
3,2122,1,Torino,Atalanta
4,2122,1,Bologna,Salernitana
5,2122,1,Napoli,Venezia
6,2122,1,Roma,Fiorentina
7,2122,1,Udinese,Juventus
8,2122,1,Cagliari,Spezia
9,2122,1,Sampdoria,Milan
10,2122,2,Verona,Inter
11,2122,2,Udinese,Venezia
12,2122,2,Atalanta,Bologna
13,2122,2,Fiorentina,Torino
14,2122,2,Juventus,Empoli
15,2122,2,Lazio,Spezia
16,2122,2,Genoa,Napoli
17,2122,2,Milan,Cagliari
18,2122,2,Salernitana,Roma
19,2122,2,Sassuolo,Sampdoria
20,2122,3,Atalanta,Fiorentina
21,2122,3,Empoli,Venezia
22,2122,3,Napoli,Juventus
23,2122,3,Cagliari,Genoa
24,2122,3,Milan,Lazio
25,2122,3,Roma,Sassuolo
26,2122,3,Sampdoria,Inter
27,2122,3,Spezia,Udinese
28,2122,3,Torino,Salernitana
29,2122,3,Bologna,Verona
30,2122,4,Sassuolo,Torino
31,2122,4,Genoa,Fiorentina
32,2122,4,Inter,Bologna
33,2122,4,Salernitana,Atalanta
34,2122,4,Empoli,Sampdoria
35,2122,4,Verona,Roma
36,2122,4,Juventus,Milan
37,2122,4,Lazio,Cagliari
38,2122,4,Venezia,Spezia
39,2122,4,Udinese,Napoli
40,2122,5,Atalanta,Sassuolo
41,2122,5,Bologna,Genoa
42,2122,5,Fiorentina,Inter
43,2122,5,Cagliari,Empoli
44,2122,5,Milan,Venezia
45,2122,5,Salernitana,Verona
46,2122,5,Spezia,Juventus
47,2122,5,Roma,Udinese
48,2122,5,Sampdoria,Napoli
49,2122,5,Torino,Lazio
50,2122,6,Genoa,Verona
51,2122,6,Inter,Atalanta
52,2122,6,Spezia,Milan
53,2122,6,Empoli,Bologna
54,2122,6,Juventus,Sampdoria
55,2122,6,Lazio,Roma
56,2122,6,Napoli,Cagliari
57,2122,6,Sassuolo,Salernitana
58,2122,6,Udinese,Fiorentina
59,2122,6,Venezia,Torino
60,2122,7,Cagliari,Venezia
61,2122,7,Salernitana,Genoa
62,2122,7,Sassuolo,Inter
63,2122,7,Torino,Juventus
64,2122,7,Atalanta,Milan
65,2122,7,Bologna,Lazio
66,2122,7,Fiorentina,Napoli
67,2122,7,Verona,Spezia
68,2122,7,Roma,Empoli
69,2122,7,Sampdoria,Udinese
70,2122,8,Lazio,Inter
71,2122,8,Milan,Verona
72,2122,8,Spezia,Salernitana
73,2122,8,Cagliari,Sampdoria
74,2122,8,Empoli,Atalanta
75,2122,8,Genoa,Sassuolo
