league,season,team,player,nationality,position,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
ITA-Serie A,2122,Atalanta,Francesco Rossi,ITA,GK,30,1991,1,0,37,1,2.43,2,1,50.0,0,0,0,0,,0,0,0,0
ITA-Serie A,2122,Atalanta,Juan Musso,ARG,GK,27,1994,33,33,2932,42,1.29,119,80,67.2,16,8,9,8,24.2,4,3,0,1
ITA-Serie A,2122,Atalanta,Marco Sportiello,ITA,GK,29,1992,5,5,450,5,1.0,18,13,83.3,0,3,2,2,40.0,2,2,0,0
ITA-Serie A,2122,Bologna,Francesco Bardi,ITA,GK,29,1992,2,2,177,2,1.02,9,7,77.8,1,1,0,0,0.0,0,0,0,0
ITA-Serie A,2122,Bologna,Nicola Bagnolini,ITA,GK,17,2004,1,0,3,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0
ITA-Serie A,2122,Bologna,Łukasz Skorupski,POL,GK,30,1991,36,36,3240,53,1.47,174,122,74.1,11,9,16,12,33.3,9,8,1,0
ITA-Serie A,2122,Cagliari,Alessio Cragno,ITA,GK,27,1994,35,35,3150,63,1.8,168,104,66.1,6,10,19,2,5.7,8,6,2,0
ITA-Serie A,2122,Cagliari,Boris Radunović,SRB,GK,25,1996,3,3,270,5,1.67,17,11,76.5,0,2,1,1,33.3,2,1,1,0
ITA-Serie A,2122,Empoli,Guglielmo Vicario,ITA,GK,24,1996,38,38,3420,70,1.84,216,150,69.9,10,11,17,7,18.4,10,5,2,3
ITA-Serie A,2122,Fiorentina,Bartłomiej Drągowski,POL,GK,23,1997,7,7,556,8,1.29,26,17,73.1,3,0,4,2,28.6,2,1,1,0
ITA-Serie A,2122,Fiorentina,Pietro Terracciano,ITA,GK,31,1990,32,31,2862,43,1.35,100,58,59.0,16,5,10,9,29.0,3,2,1,0
ITA-Serie A,2122,Genoa,Adrian Šemper,CRO,GK,23,1998,1,1,90,1,1.0,4,3,75.0,0,0,1,0,0.0,0,0,0,0
ITA-Serie A,2122,Genoa,Salvatore Sirigu,ITA,GK,34,1987,37,37,3330,59,1.59,180,122,69.4,4,16,17,10,27.0,5,4,1,0
ITA-Serie A,2122,Hellas Verona,Alessandro Berardi,ITA,GK,30,1991,1,1,90,3,3.0,7,4,57.1,0,1,0,0,0.0,0,0,0,0
ITA-Serie A,2122,Hellas Verona,Ivor Pandur,CRO,GK,21,2000,3,3,270,6,2.0,15,9,66.7,1,0,2,0,0.0,1,1,0,0
ITA-Serie A,2122,Hellas Verona,Lorenzo Montipò,ITA,GK,25,1996,34,34,3060,50,1.47,137,88,65.0,13,10,11,4,11.8,3,2,1,0
ITA-Serie A,2122,Inter,Ionuț Radu,ROU,GK,24,1997,1,1,90,2,2.0,3,1,33.3,0,0,1,0,0.0,0,0,0,0
ITA-Serie A,2122,Inter,Samir Handanović,SVN,GK,37,1984,37,37,3330,30,0.81,124,95,79.0,25,9,3,15,40.5,4,4,0,0
ITA-Serie A,2122,Juventus,Carlo Pinsoglio,ITA,GK,31,1990,1,0,45,1,2.0,2,1,100.0,0,0,0,0,,1,1,0,0
ITA-Serie A,2122,Juventus,Mattia Perin,ITA,GK,28,1992,5,5,405,7,1.56,16,10,56.3,2,1,2,1,20.0,0,0,0,0
ITA-Serie A,2122,Juventus,Wojciech Szczęsny,POL,GK,31,1990,33,33,2970,29,0.88,105,73,75.2,18,9,6,12,36.4,6,3,3,0
ITA-Serie A,2122,Lazio,Pepe Reina,ESP,GK,38,1982,15,15,1350,29,1.93,60,31,58.3,6,4,5,2,13.3,5,4,0,1
ITA-Serie A,2122,Lazio,Thomas Strakosha,ALB,GK,26,1995,23,23,2070,29,1.26,86,58,67.4,12,6,5,7,30.4,1,1,0,0
ITA-Serie A,2122,Milan,Ciprian Tătărușanu,ROU,GK,35,1986,6,6,540,10,1.67,24,14,66.7,4,1,1,1,16.7,3,2,1,0
ITA-Serie A,2122,Milan,Mike Maignan,FRA,GK,26,1995,32,32,2880,21,0.66,101,81,81.2,22,7,3,17,53.1,2,2,0,0
ITA-Serie A,2122,Napoli,Alex Meret,ITA,GK,24,1997,7,7,619,6,0.87,29,23,79.3,5,1,1,2,28.6,0,0,0,0
