league,season,team,player,nationality,position,age,birth_year,minutes_90s,goals_against_gk,pens_allowed,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk
ITA-Serie A,2122,Atalanta,Francesco Rossi,ITA,GK,30,1991,0.4,1,0,0,0,0,1.0,0.52,0.0,0.11,2,6,33.3,12,0,41.7,37.8,4,25.0,39.3,3,0,0.0,0,0.0,18.0
ITA-Serie A,2122,Atalanta,Juan Musso,ARG,GK,27,1994,32.6,42,3,0,2,3,37.5,0.3,-1.5,-0.05,147,348,42.2,744,170,27.4,31.3,208,69.2,49.7,308,28,9.1,39,1.2,16.5
ITA-Serie A,2122,Atalanta,Marco Sportiello,ITA,GK,29,1992,5.0,5,2,0,1,0,5.6,0.2,0.6,0.12,8,33,24.2,107,33,14.0,26.0,28,64.3,47.0,45,1,2.2,4,0.8,13.9
ITA-Serie A,2122,Bologna,Francesco Bardi,ITA,GK,29,1992,2.0,2,0,0,0,0,2.7,0.3,0.7,0.37,5,19,26.3,35,6,40.0,33.0,13,38.5,32.1,24,2,8.3,0,0.0,5.5
ITA-Serie A,2122,Bologna,Nicola Bagnolini,ITA,GK,17,2004,0.0,0,0,0,0,0,0.2,0.19,0.2,5.78,0,4,0.0,3,0,100.0,61.0,1,100.0,60.0,3,0,0.0,0,0.0,
ITA-Serie A,2122,Bologna,Łukasz Skorupski,POL,GK,30,1991,36.0,53,8,1,3,2,53.3,0.26,2.3,0.06,193,459,42.0,956,164,39.1,34.0,294,28.9,26.6,498,27,5.4,14,0.39,11.3
ITA-Serie A,2122,Cagliari,Alessio Cragno,ITA,GK,27,1994,35.0,63,6,4,10,1,52.4,0.28,-9.6,-0.27,321,703,45.7,890,112,52.9,39.4,316,73.4,48.2,484,22,4.5,33,0.94,15.0
ITA-Serie A,2122,Cagliari,Boris Radunović,SRB,GK,25,1996,3.0,5,1,1,0,0,6.4,0.26,1.4,0.46,22,62,35.5,72,10,54.2,41.5,28,82.1,51.1,42,1,2.4,1,0.33,13.8
ITA-Serie A,2122,Empoli,Guglielmo Vicario,ITA,GK,24,1996,38.0,70,5,1,5,6,65.2,0.28,1.2,0.03,133,386,34.5,1066,215,26.2,29.5,257,41.6,37.5,602,35,5.8,38,1.0,13.9
ITA-Serie A,2122,Fiorentina,Bartłomiej Drągowski,POL,GK,23,1997,6.2,8,1,0,1,0,8.1,0.24,0.1,0.02,43,97,44.3,304,23,26.3,30.8,39,43.6,40.2,61,2,3.3,20,3.24,22.3
ITA-Serie A,2122,Fiorentina,Pietro Terracciano,ITA,GK,31,1990,31.8,43,2,0,2,2,31.6,0.29,-9.4,-0.29,197,464,42.5,1356,141,29.8,32.2,170,35.3,33.7,291,22,7.6,51,1.6,16.7
ITA-Serie A,2122,Genoa,Adrian Šemper,CRO,GK,23,1998,1.0,1,0,0,0,0,0.9,0.28,-0.1,-0.06,6,21,28.6,30,3,50.0,38.5,7,85.7,52.0,14,2,14.3,0,0.0,11.2
ITA-Serie A,2122,Genoa,Salvatore Sirigu,ITA,GK,34,1987,37.0,59,4,3,7,2,50.6,0.26,-6.4,-0.17,257,605,42.5,916,100,46.3,36.6,263,68.8,45.9,476,14,2.9,20,0.54,12.9
ITA-Serie A,2122,Hellas Verona,Alessandro Berardi,ITA,GK,30,1991,1.0,3,0,0,0,0,2.3,0.38,-0.7,-0.66,4,19,21.1,23,4,52.2,39.7,7,100.0,58.7,12,0,0.0,0,0.0,
ITA-Serie A,2122,Hellas Verona,Ivor Pandur,CRO,GK,21,2000,3.0,6,1,1,1,0,5.7,0.33,-0.3,-0.1,15,26,57.7,53,9,34.0,33.1,15,53.3,37.1,22,1,4.5,1,0.33,11.3
ITA-Serie A,2122,Hellas Verona,Lorenzo Montipò,ITA,GK,25,1996,34.0,50,2,1,7,2,40.6,0.28,-7.4,-0.22,189,577,32.8,733,120,57.2,42.3,231,68.4,46.5,495,21,4.2,23,0.68,13.1
ITA-Serie A,2122,Inter,Ionuț Radu,ROU,GK,24,1997,1.0,2,0,0,0,0,1.6,0.53,-0.4,-0.41,4,8,50.0,19,2,36.8,33.3,4,25.0,29.8,4,0,0.0,1,1.0,16.0
ITA-Serie A,2122,Inter,Samir Handanović,SVN,GK,37,1984,37.0,30,4,0,3,1,33.2,0.24,4.2,0.11,139,301,46.2,1118,176,24.3,28.1,142,20.4,26.5,393,15,3.8,10,0.27,11.2
ITA-Serie A,2122,Juventus,Carlo Pinsoglio,ITA,GK,31,1990,0.5,1,1,0,0,0,1.1,0.08,0.1,0.29,1,1,100.0,10,0,10.0,29.6,1,0.0,37.0,12,0,0.0,0,0.0,
ITA-Serie A,2122,Juventus,Mattia Perin,ITA,GK,28,1992,4.5,7,0,0,1,1,5.4,0.35,-0.6,-0.14,13,34,38.2,108,17,25.9,29.6,26,23.1,29.2,77,1,1.3,4,0.89,12.6
ITA-Serie A,2122,Juventus,Wojciech Szczęsny,POL,GK,31,1990,33.0,29,3,2,5,0,30.6,0.24,1.6,0.05,124,273,45.4,836,159,26.6,30.8,172,29.7,31.5,481,24,5.0,25,0.76,13.5
ITA-Serie A,2122,Lazio,Pepe Reina,ESP,GK,38,1982,15.0,29,4,0,2,0,23.7,0.33,-5.3,-0.36,66,133,49.6,429,73,24.2,29.8,99,29.3,30.1,186,10,5.4,10,0.67,13.7
ITA-Serie A,2122,Lazio,Thomas Strakosha,ALB,GK,26,1995,23.0,29,1,1,3,1,28.6,0.32,0.6,0.03,79,161,49.1,618,92,22.2,28.5,119,20.2,23.6,283,11,3.9,16,0.7,14.5
ITA-Serie A,2122,Milan,Ciprian Tătărușanu,ROU,GK,35,1986,6.0,10,2,0,1,1,8.9,0.25,-0.1,-0.02,33,74,44.6,168,14,36.3,33.3,36,36.1,35.0,82,6,7.3,3,0.5,12.5
ITA-Serie A,2122,Milan,Mike Maignan,FRA,GK,26,1995,32.0,21,2,0,4,1,24.3,0.22,4.3,0.13,157,374,42.0,1004,164,31.5,33.0,149,38.9,36.5,347,25,7.2,45,1.41,16.8
ITA-Serie A,2122,Napoli,Alex Meret,ITA,GK,24,1997,6.9,6,0,0,0,0,6.4,0.22,0.4,0.06,13,29,44.8,160,45,12.5,25.1,36,25.0,26.5,89,3,3.4,5,0.73,14.6
ITA-Serie A,2122,Napoli,David Ospina,COL,GK,32,1988,31.0,25,1,0,3,1,27.6,0.26,3.6,0.12,73,193,37.8,842,124,20.7,28.6,135,14.1,22.5,353,18,5.1,31,1.0,17.0
