league,season,team,player,nationality,position,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense
ITA-Serie A,2122,Atalanta,Alassane Sidibe,CIV,MF,19,2002,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",25,1995,8.6,41,4.77,29,3,5,2,2,0,8,0.93,6,0,2,0,0,0
ITA-Serie A,2122,Atalanta,Berat Djimsiti,ALB,DF,28,1993,25.1,23,0.92,16,0,1,5,0,1,2,0.08,2,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Davide Zappacosta,ITA,DF,29,1992,26.1,72,2.76,51,3,4,8,3,3,8,0.31,6,0,0,1,1,0
ITA-Serie A,2122,Atalanta,Duván Zapata,COL,FW,30,1991,19.1,86,4.49,57,1,12,13,2,1,8,0.42,6,0,1,1,0,0
ITA-Serie A,2122,Atalanta,Francesco Rossi,ITA,GK,30,1991,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Giorgio Cittadini,ITA,DF,19,2002,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Giorgio Scalvini,ITA,"DF,MF",17,2003,8.5,16,1.89,11,0,1,2,0,2,1,0.12,1,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Giuseppe Pezzella,ITA,"DF,MF",23,1997,11.9,13,1.09,10,2,0,1,0,0,2,0.17,1,0,0,1,0,0
ITA-Serie A,2122,Atalanta,Hans Hateboer,NED,"DF,MF",27,1994,15.4,34,2.21,30,1,0,2,1,0,3,0.19,3,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Jeremie Boga,CIV,"FW,MF",24,1997,8.5,51,6.01,32,6,6,3,2,2,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Joakim Mæhle,DEN,"DF,MF",24,1997,16.3,48,2.94,42,0,0,4,2,0,3,0.18,2,0,0,1,0,0
ITA-Serie A,2122,Atalanta,Josip Iličić,SVN,"MF,FW",33,1988,9.3,66,7.07,42,11,4,5,3,1,10,1.07,8,0,2,0,0,0
ITA-Serie A,2122,Atalanta,José Luis Palomino,ARG,DF,31,1990,29.7,20,0.67,18,0,0,1,0,1,2,0.07,1,0,0,0,0,1
ITA-Serie A,2122,Atalanta,Juan Musso,ARG,GK,27,1994,32.6,3,0.09,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Luis Muriel,COL,"FW,MF",30,1991,17.1,121,7.09,67,26,13,9,6,0,14,0.82,10,1,3,0,0,0
ITA-Serie A,2122,Atalanta,Marco Sportiello,ITA,GK,29,1992,5.0,1,0.2,1,0,0,0,0,0,1,0.2,1,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Mario Pašalić,CRO,"MF,FW",26,1995,22.2,70,3.15,60,0,3,6,0,1,13,0.58,13,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Marten de Roon,NED,"MF,DF",30,1991,28.3,42,1.48,38,1,1,1,0,1,3,0.11,3,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Matteo Lovato,ITA,DF,21,2000,3.4,4,1.18,4,0,0,0,0,0,1,0.3,1,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Matteo Pessina,ITA,"MF,FW",24,1997,16.0,46,2.88,42,0,2,2,0,0,5,0.31,5,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Merih Demiral,TUR,DF,23,1998,21.3,8,0.38,2,0,1,4,0,1,3,0.14,0,0,0,3,0,0
ITA-Serie A,2122,Atalanta,Moustapha Cissé,GUI,FW,17,2003,0.4,1,2.37,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Rafael Tolói,ITA,DF,30,1990,16.0,26,1.63,23,0,1,2,0,0,3,0.19,3,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Remo Freuler,SUI,MF,29,1992,26.3,71,2.7,61,5,1,2,1,1,6,0.23,5,1,0,0,0,0
ITA-Serie A,2122,Atalanta,Roberto Piccoli,ITA,FW,20,2001,2.2,5,2.31,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Robin Gosens,GER,DF,27,1994,5.1,12,2.35,8,0,0,2,2,0,1,0.2,0,0,0,0,1,0
ITA-Serie A,2122,Atalanta,Ruslan Malinovskyi,UKR,"MF,FW",28,1993,17.7,104,5.87,55,24,9,9,7,0,8,0.45,6,0,0,1,1,0
ITA-Serie A,2122,Atalanta,Sam Lammers,NED,"FW,MF",24,1997,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Teun Koopmeiners,NED,MF,23,1998,23.6,93,3.94,69,14,5,3,1,1,5,0.21,5,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Tommaso De Nipoti,ITA,FW,18,2003,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Valentin Mihaila,ROU,"MF,FW",21,2000,0.8,1,1.2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Aaron Hickey,SCO,DF,19,2002,31.3,44,1.4,37,1,2,0,4,0,4,0.13,4,0,0,0,0,0
ITA-Serie A,2122,Bologna,Adama Soumaoro,FRA,DF,29,1992,25.2,12,0.48,11,0,0,1,0,0,1,0.04,1,0,0,0,0,0
ITA-Serie A,2122,Bologna,Andreas Skov Olsen,DEN,"FW,DF",21,1999,8.3,23,2.77,17,3,1,1,1,0,6,0.72,3,1,1,0,1,0
ITA-Serie A,2122,Bologna,Antonio Raimondo,ITA,FW,17,2004,0.8,1,1.22,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Arthur Theate,BEL,DF,21,2000,26.9,24,0.89,23,0,0,1,0,0,4,0.15,4,0,0,0,0,0
ITA-Serie A,2122,Bologna,Denso Kasius,NED,"DF,FW",18,2002,2.0,7,3.5,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Diego Falcinelli,ITA,FW,30,1991,0.7,1,1.36,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Ebenezer Annan,GHA,DF,18,2002,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Emanuel Vignato,ITA,"MF,DF",20,2000,6.6,28,4.23,23,2,2,1,0,0,2,0.3,2,0,0,0,0,0
ITA-Serie A,2122,Bologna,Federico Santander,PAR,"FW,DF",30,1991,0.7,3,4.03,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Francesco Bardi,ITA,GK,29,1992,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Gary Medel,CHI,DF,33,1987,31.4,17,0.54,14,2,1,0,0,0,3,0.1,2,1,0,0,0,0
ITA-Serie A,2122,Bologna,Ibrahima Mbaye,SEN,DF,26,1994,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Jerdy Schouten,NED,MF,24,1997,15.5,36,2.33,33,0,1,0,2,0,3,0.19,3,0,0,0,0,0
ITA-Serie A,2122,Bologna,Kacper Urbanski,POL,MF,16,2004,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Kevin Bonifazi,ITA,DF,25,1996,13.4,12,0.89,9,0,1,2,0,0,2,0.15,1,0,0,1,0,0
ITA-Serie A,2122,Bologna,Kingsley Michael,NGA,MF,21,1999,0.8,1,1.2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Lorenzo De Silvestri,ITA,DF,33,1988,25.5,46,1.8,32,9,0,2,3,0,2,0.08,2,0,0,0,0,0
ITA-Serie A,2122,Bologna,Luis Binks,ENG,DF,19,2001,7.2,1,0.14,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Marko Arnautović,AUT,FW,32,1989,29.9,89,2.97,71,0,7,9,2,0,7,0.23,5,0,1,1,0,0
ITA-Serie A,2122,Bologna,Mattias Svanberg,SWE,MF,22,1999,28.5,62,2.18,45,10,3,1,2,1,6,0.21,5,1,0,0,0,0
ITA-Serie A,2122,Bologna,Michel Aebischer,SUI,MF,24,1997,4.9,10,2.05,9,1,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Mitchell Dijks,NED,"DF,FW",28,1993,7.7,12,1.56,8,3,0,0,1,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Musa Barrow,GAM,"FW,MF",22,1998,23.7,87,3.67,65,11,3,4,4,0,10,0.42,8,1,0,1,0,0
ITA-Serie A,2122,Bologna,Nicola Bagnolini,ITA,GK,17,2004,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Nicola Sansone,ITA,"FW,MF",29,1991,10.0,37,3.72,18,10,1,5,3,0,6,0.6,2,1,0,1,2,0
ITA-Serie A,2122,Bologna,Nicolas Viola,ITA,MF,31,1989,1.1,1,0.88,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Nicolás Domínguez,ARG,MF,23,1998,22.4,61,2.72,52,1,0,5,1,2,4,0.18,4,0,0,0,0,0
ITA-Serie A,2122,Bologna,Niklas Pyyhtiä,FIN,MF,17,2003,0.2,1,4.74,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Riccardo Orsolini,ITA,"FW,MF",24,1997,19.8,57,2.87,26,15,4,5,7,0,6,0.3,3,2,0,1,0,0
ITA-Serie A,2122,Bologna,Riccardo Stivanello,ITA,DF,17,2004,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
