league,season,team,player,nationality,position,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
ITA-Serie A,2122,Atalanta,Alassane Sidibe,CIV,MF,19,2002,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
ITA-Serie A,2122,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",25,1995,8.6,0,0,0,14,19,3,17,1,7,0,0,0,36,9,14,39.1
ITA-Serie A,2122,Atalanta,Berat Djimsiti,ALB,DF,28,1993,25.1,6,0,0,21,14,1,11,31,24,0,1,1,144,57,27,67.9
ITA-Serie A,2122,Atalanta,Davide Zappacosta,ITA,DF,29,1992,26.1,6,0,0,31,31,7,88,12,22,2,0,0,124,5,12,29.4
ITA-Serie A,2122,Atalanta,Duván Zapata,COL,FW,30,1991,19.1,3,0,0,29,27,10,25,3,2,0,0,0,35,46,44,51.1
ITA-Serie A,2122,Atalanta,Francesco Rossi,ITA,GK,30,1991,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
ITA-Serie A,2122,Atalanta,Giorgio Cittadini,ITA,DF,19,2002,0.0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,
ITA-Serie A,2122,Atalanta,Giorgio Scalvini,ITA,"DF,MF",17,2003,8.5,1,0,0,15,7,0,3,22,11,0,0,0,56,20,17,54.1
ITA-Serie A,2122,Atalanta,Giuseppe Pezzella,ITA,"DF,MF",23,1997,11.9,3,0,0,19,30,2,37,9,13,0,0,0,82,14,14,50.0
ITA-Serie A,2122,Atalanta,Hans Hateboer,NED,"DF,MF",27,1994,15.4,2,0,0,18,7,3,38,7,14,0,0,0,66,22,23,48.9
ITA-Serie A,2122,Atalanta,Jeremie Boga,CIV,"FW,MF",24,1997,8.5,0,0,0,1,17,3,24,1,3,0,0,0,37,3,6,33.3
ITA-Serie A,2122,Atalanta,Joakim Mæhle,DEN,"DF,MF",24,1997,16.3,2,0,0,10,25,1,27,14,11,0,1,0,126,11,14,44.0
ITA-Serie A,2122,Atalanta,Josip Iličić,SVN,"MF,FW",33,1988,9.3,1,0,0,13,38,1,41,3,7,0,0,0,32,1,11,8.3
ITA-Serie A,2122,Atalanta,José Luis Palomino,ARG,DF,31,1990,29.7,9,0,0,39,17,1,9,100,40,0,0,0,272,105,48,68.6
ITA-Serie A,2122,Atalanta,Juan Musso,ARG,GK,27,1994,32.6,1,1,0,3,1,0,0,0,1,0,1,0,26,6,0,100.0
ITA-Serie A,2122,Atalanta,Luis Muriel,COL,"FW,MF",30,1991,17.1,1,0,0,14,27,7,75,4,4,0,0,0,65,30,32,48.4
ITA-Serie A,2122,Atalanta,Marco Sportiello,ITA,GK,29,1992,5.0,1,0,0,0,1,0,0,0,0,0,0,0,4,1,0,100.0
ITA-Serie A,2122,Atalanta,Mario Pašalić,CRO,"MF,FW",26,1995,22.2,3,0,0,30,14,6,4,20,12,0,0,0,107,50,47,51.5
ITA-Serie A,2122,Atalanta,Marten de Roon,NED,"MF,DF",30,1991,28.3,7,1,1,50,15,0,7,45,42,0,0,0,212,52,34,60.5
ITA-Serie A,2122,Atalanta,Matteo Lovato,ITA,DF,21,2000,3.4,1,0,0,5,1,0,3,7,4,0,0,0,12,10,5,66.7
ITA-Serie A,2122,Atalanta,Matteo Pessina,ITA,"MF,FW",24,1997,16.0,0,0,0,16,35,4,10,13,14,0,0,0,134,28,29,49.1
ITA-Serie A,2122,Atalanta,Merih Demiral,TUR,DF,23,1998,21.3,8,0,0,29,16,3,0,58,17,0,1,0,122,85,37,69.7
ITA-Serie A,2122,Atalanta,Moustapha Cissé,GUI,FW,17,2003,0.4,0,0,0,2,1,2,0,0,0,0,0,0,1,4,2,66.7
ITA-Serie A,2122,Atalanta,Rafael Tolói,ITA,DF,30,1990,16.0,6,0,0,27,10,0,10,26,15,0,1,0,122,38,11,77.6
ITA-Serie A,2122,Atalanta,Remo Freuler,SUI,MF,29,1992,26.3,10,0,0,43,28,0,25,35,39,0,1,1,186,20,24,45.5
ITA-Serie A,2122,Atalanta,Roberto Piccoli,ITA,FW,20,2001,2.2,0,0,0,0,3,3,0,0,0,0,0,0,7,5,16,23.8
ITA-Serie A,2122,Atalanta,Robin Gosens,GER,DF,27,1994,5.1,2,0,0,3,5,1,5,9,3,1,0,0,22,12,4,75.0
ITA-Serie A,2122,Atalanta,Ruslan Malinovskyi,UKR,"MF,FW",28,1993,17.7,10,0,0,40,41,3,102,5,10,0,0,0,95,18,19,48.6
ITA-Serie A,2122,Atalanta,Sam Lammers,NED,"FW,MF",24,1997,0.4,0,0,0,2,3,0,0,0,0,0,0,0,0,4,4,50.0
ITA-Serie A,2122,Atalanta,Teun Koopmeiners,NED,MF,23,1998,23.6,4,0,0,37,21,6,97,15,24,0,0,1,158,27,20,57.4
ITA-Serie A,2122,Atalanta,Tommaso De Nipoti,ITA,FW,18,2003,0.1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,100.0
ITA-Serie A,2122,Atalanta,Valentin Mihaila,ROU,"MF,FW",21,2000,0.8,0,0,0,2,0,0,3,0,1,0,0,0,4,1,4,20.0
ITA-Serie A,2122,Bologna,Aaron Hickey,SCO,DF,19,2002,31.3,7,0,0,39,71,4,52,29,29,0,0,0,134,17,30,36.2
ITA-Serie A,2122,Bologna,Adama Soumaoro,FRA,DF,29,1992,25.2,6,2,0,24,16,1,2,34,5,0,1,1,108,45,16,73.8
ITA-Serie A,2122,Bologna,Andreas Skov Olsen,DEN,"FW,DF",21,1999,8.3,0,0,0,4,15,0,37,3,10,0,0,0,48,4,10,28.6
ITA-Serie A,2122,Bologna,Antonio Raimondo,ITA,FW,17,2004,0.8,0,0,0,3,0,3,0,0,0,0,0,0,2,0,3,0.0
ITA-Serie A,2122,Bologna,Arthur Theate,BEL,DF,21,2000,26.9,6,0,0,26,10,1,18,42,19,0,1,0,181,39,39,50.0
ITA-Serie A,2122,Bologna,Denso Kasius,NED,"DF,FW",18,2002,2.0,0,0,0,1,4,0,7,3,7,0,0,0,15,3,3,50.0
ITA-Serie A,2122,Bologna,Diego Falcinelli,ITA,FW,30,1991,0.7,0,0,0,2,4,0,0,1,2,0,0,0,5,5,6,45.5
ITA-Serie A,2122,Bologna,Ebenezer Annan,GHA,DF,18,2002,0.3,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,
ITA-Serie A,2122,Bologna,Emanuel Vignato,ITA,"MF,DF",20,2000,6.6,2,0,0,5,3,0,12,2,7,0,0,0,40,6,4,60.0
ITA-Serie A,2122,Bologna,Federico Santander,PAR,"FW,DF",30,1991,0.7,1,0,0,2,5,0,1,0,1,0,0,0,3,8,7,53.3
ITA-Serie A,2122,Bologna,Francesco Bardi,ITA,GK,29,1992,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0
ITA-Serie A,2122,Bologna,Gary Medel,CHI,DF,33,1987,31.4,10,1,1,34,31,1,2,44,23,0,2,0,228,15,33,31.3
ITA-Serie A,2122,Bologna,Ibrahima Mbaye,SEN,DF,26,1994,1.2,0,0,0,3,1,1,1,1,1,0,1,0,3,3,4,42.9
ITA-Serie A,2122,Bologna,Jerdy Schouten,NED,MF,24,1997,15.5,4,1,1,17,7,0,1,33,17,0,0,0,102,28,18,60.9
ITA-Serie A,2122,Bologna,Kacper Urbanski,POL,MF,16,2004,0.5,0,0,0,2,0,0,1,0,2,0,0,0,5,0,2,0.0
ITA-Serie A,2122,Bologna,Kevin Bonifazi,ITA,DF,25,1996,13.4,4,1,1,15,10,0,3,16,16,0,1,1,97,34,18,65.4
ITA-Serie A,2122,Bologna,Kingsley Michael,NGA,MF,21,1999,0.8,0,0,0,0,1,0,0,1,1,0,0,0,5,0,3,0.0
ITA-Serie A,2122,Bologna,Lorenzo De Silvestri,ITA,DF,33,1988,25.5,7,0,0,28,28,3,57,26,14,1,0,0,97,75,46,62.0
ITA-Serie A,2122,Bologna,Luis Binks,ENG,DF,19,2001,7.2,3,0,0,7,6,0,1,17,4,0,0,0,35,19,13,59.4
ITA-Serie A,2122,Bologna,Marko Arnautović,AUT,FW,32,1989,29.9,6,0,0,45,21,14,12,7,9,0,0,0,77,25,41,37.9
ITA-Serie A,2122,Bologna,Mattias Svanberg,SWE,MF,22,1999,28.5,7,0,0,37,63,0,50,28,15,0,0,0,132,22,33,40.0
ITA-Serie A,2122,Bologna,Michel Aebischer,SUI,MF,24,1997,4.9,1,0,0,13,4,0,7,6,5,0,0,0,27,5,4,55.6
ITA-Serie A,2122,Bologna,Mitchell Dijks,NED,"DF,FW",28,1993,7.7,2,0,0,10,10,0,28,3,6,0,0,0,44,9,4,69.2
ITA-Serie A,2122,Bologna,Musa Barrow,GAM,"FW,MF",22,1998,23.7,0,0,0,10,25,6,112,6,4,0,0,0,93,15,48,23.8
ITA-Serie A,2122,Bologna,Nicola Bagnolini,ITA,GK,17,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ITA-Serie A,2122,Bologna,Nicola Sansone,ITA,"FW,MF",29,1991,10.0,6,0,0,16,21,6,52,4,7,2,0,0,52,7,18,28.0
ITA-Serie A,2122,Bologna,Nicolas Viola,ITA,MF,31,1989,1.1,0,0,0,2,2,0,5,0,2,0,0,0,15,3,0,100.0
ITA-Serie A,2122,Bologna,Nicolás Domínguez,ARG,MF,23,1998,22.4,8,0,0,26,39,0,14,32,45,0,0,0,158,32,29,52.5
ITA-Serie A,2122,Bologna,Niklas Pyyhtiä,FIN,MF,17,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
ITA-Serie A,2122,Bologna,Riccardo Orsolini,ITA,"FW,MF",24,1997,19.8,2,0,0,20,44,13,90,5,13,0,0,0,73,26,35,42.6
ITA-Serie A,2122,Bologna,Riccardo Stivanello,ITA,DF,17,2004,0.5,0,0,0,0,1,0,0,0,1,0,0,0,4,1,1,50.0
ITA-Serie A,2122,Bologna,Roberto Soriano,ITA,MF,30,1991,29.1,6,2,1,49,47,3,34,22,30,0,1,0,139,24,46,34.3
