league,season,team,player,nationality,position,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
ITA-Serie A,2122,Atalanta,Alassane Sidibe,CIV,MF,19,2002,0.1,1,2,50.0,15,0,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",25,1995,8.6,310,384,80.7,4480,1088,183,212,86.3,94,112,83.9,20,30,66.7,5,2.7,2.3,22,24,15,2,34
ITA-Serie A,2122,Atalanta,Berat Djimsiti,ALB,DF,28,1993,25.1,1192,1435,83.1,19624,7246,589,660,89.2,471,530,88.9,97,169,57.4,1,1.6,-0.6,13,99,18,7,100
ITA-Serie A,2122,Atalanta,Davide Zappacosta,ITA,DF,29,1992,26.1,1238,1503,82.4,17825,6203,759,819,92.7,402,488,82.4,51,105,48.6,5,4.0,1.0,33,60,36,18,99
ITA-Serie A,2122,Atalanta,Duván Zapata,COL,FW,30,1991,19.1,407,548,74.3,5607,892,244,298,81.9,114,148,77.0,19,35,54.3,4,4.4,-0.4,39,18,22,4,47
ITA-Serie A,2122,Atalanta,Francesco Rossi,ITA,GK,30,1991,0.4,12,16,75.0,341,279,0,0,,8,8,100.0,4,8,50.0,0,0.0,0.0,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Giorgio Cittadini,ITA,DF,19,2002,0.0,1,2,50.0,17,15,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1
ITA-Serie A,2122,Atalanta,Giorgio Scalvini,ITA,"DF,MF",17,2003,8.5,405,497,81.5,6846,2737,201,221,91.0,167,195,85.6,29,61,47.5,0,0.9,-0.9,5,43,5,0,53
ITA-Serie A,2122,Atalanta,Giuseppe Pezzella,ITA,"DF,MF",23,1997,11.9,508,658,77.2,7346,2203,315,352,89.5,145,183,79.2,32,68,47.1,2,0.9,1.1,9,30,7,3,46
ITA-Serie A,2122,Atalanta,Hans Hateboer,NED,"DF,MF",27,1994,15.4,703,850,82.7,9952,3276,448,482,92.9,207,253,81.8,29,59,49.2,0,0.8,-0.8,13,43,17,8,73
ITA-Serie A,2122,Atalanta,Jeremie Boga,CIV,"FW,MF",24,1997,8.5,333,419,79.5,4412,1219,222,260,85.4,68,86,79.1,23,34,67.6,0,1.1,-1.1,20,26,26,1,53
ITA-Serie A,2122,Atalanta,Joakim Mæhle,DEN,"DF,MF",24,1997,16.3,752,930,80.9,10287,3454,475,531,89.5,227,284,79.9,22,43,51.2,1,1.0,0.0,16,42,16,2,75
ITA-Serie A,2122,Atalanta,Josip Iličić,SVN,"MF,FW",33,1988,9.3,359,492,73.0,6453,2051,182,223,81.6,118,157,75.2,48,74,64.9,3,3.3,-0.3,34,40,21,2,70
ITA-Serie A,2122,Atalanta,José Luis Palomino,ARG,DF,31,1990,29.7,1349,1663,81.1,26093,9737,469,539,87.0,700,802,87.3,160,265,60.4,0,0.4,-0.4,5,89,7,2,113
ITA-Serie A,2122,Atalanta,Juan Musso,ARG,GK,27,1994,32.6,715,958,74.6,20801,14921,97,97,100.0,349,355,98.3,262,490,53.5,0,0.0,0.0,0,11,0,0,0
ITA-Serie A,2122,Atalanta,Luis Muriel,COL,"FW,MF",30,1991,17.1,541,755,71.7,8311,2422,293,362,80.9,158,224,70.5,52,94,55.3,8,6.0,2.0,60,42,32,4,86
ITA-Serie A,2122,Atalanta,Marco Sportiello,ITA,GK,29,1992,5.0,104,135,77.0,2540,1626,18,18,100.0,59,60,98.3,26,55,47.3,0,0.0,0.0,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Mario Pašalić,CRO,"MF,FW",26,1995,22.2,801,997,80.3,12561,3133,407,484,84.1,302,346,87.3,57,74,77.0,6,5.7,0.3,39,64,25,0,105
ITA-Serie A,2122,Atalanta,Marten de Roon,NED,"MF,DF",30,1991,28.3,1434,1690,84.9,25483,8331,650,725,89.7,618,677,91.3,141,230,61.3,0,0.3,-0.3,7,163,21,0,176
ITA-Serie A,2122,Atalanta,Matteo Lovato,ITA,DF,21,2000,3.4,165,194,85.1,2978,935,77,83,92.8,69,79,87.3,18,24,75.0,0,0.1,-0.1,2,14,1,0,10
ITA-Serie A,2122,Atalanta,Matteo Pessina,ITA,"MF,FW",24,1997,16.0,718,880,81.6,10454,2860,421,477,88.3,241,283,85.2,30,39,76.9,1,1.4,-0.4,24,48,16,2,87
ITA-Serie A,2122,Atalanta,Merih Demiral,TUR,DF,23,1998,21.3,683,801,85.3,13396,3973,201,238,84.5,400,440,90.9,71,102,69.6,2,0.7,1.3,4,24,0,0,25
ITA-Serie A,2122,Atalanta,Moustapha Cissé,GUI,FW,17,2003,0.4,5,9,55.6,48,13,5,8,62.5,0,0,,0,0,,0,0.0,0.0,0,0,0,0,1
ITA-Serie A,2122,Atalanta,Rafael Tolói,ITA,DF,30,1990,16.0,772,944,81.8,14041,5497,324,357,90.8,358,404,88.6,76,137,55.5,1,0.5,0.5,8,86,10,2,90
ITA-Serie A,2122,Atalanta,Remo Freuler,SUI,MF,29,1992,26.3,1486,1728,86.0,23572,7197,728,796,91.5,621,697,89.1,85,131,64.9,3,1.3,1.7,23,178,38,4,208
ITA-Serie A,2122,Atalanta,Roberto Piccoli,ITA,FW,20,2001,2.2,30,43,69.8,382,54,21,28,75.0,8,10,80.0,0,0,,0,0.3,-0.3,4,1,0,0,1
ITA-Serie A,2122,Atalanta,Robin Gosens,GER,DF,27,1994,5.1,212,261,81.2,3294,1266,121,134,90.3,76,94,80.9,12,20,60.0,0,0.4,-0.4,6,13,6,2,28
ITA-Serie A,2122,Atalanta,Ruslan Malinovskyi,UKR,"MF,FW",28,1993,17.7,669,928,72.1,11706,3601,293,352,83.2,257,329,78.1,87,162,53.7,5,5.9,-0.9,45,70,48,6,111
ITA-Serie A,2122,Atalanta,Sam Lammers,NED,"FW,MF",24,1997,0.4,12,20,60.0,155,55,7,10,70.0,4,7,57.1,0,0,,0,0.0,0.0,0,2,1,0,3
ITA-Serie A,2122,Atalanta,Teun Koopmeiners,NED,MF,23,1998,23.6,1173,1485,79.0,21632,7362,510,578,88.2,492,575,85.6,132,249,53.0,1,5.3,-4.3,48,154,37,12,162
ITA-Serie A,2122,Atalanta,Tommaso De Nipoti,ITA,FW,18,2003,0.1,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Valentin Mihaila,ROU,"MF,FW",21,2000,0.8,17,33,51.5,229,37,12,21,57.1,5,6,83.3,0,1,0.0,0,0.0,0.0,0,0,0,0,1
ITA-Serie A,2122,Bologna,Aaron Hickey,SCO,DF,19,2002,31.3,1032,1289,80.1,14598,4242,610,671,90.9,355,460,77.2,34,78,43.6,1,1.8,-0.8,19,45,19,8,52
ITA-Serie A,2122,Bologna,Adama Soumaoro,FRA,DF,29,1992,25.2,930,1043,89.2,15111,5118,438,472,92.8,418,464,90.1,49,63,77.8,0,0.0,0.0,1,43,2,0,61
ITA-Serie A,2122,Bologna,Andreas Skov Olsen,DEN,"FW,DF",21,1999,8.3,304,400,76.0,4310,1374,186,215,86.5,88,113,77.9,21,50,42.0,2,0.4,1.6,8,13,8,6,19
ITA-Serie A,2122,Bologna,Antonio Raimondo,ITA,FW,17,2004,0.8,6,10,60.0,70,1,5,5,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Arthur Theate,BEL,DF,21,2000,26.9,1231,1488,82.7,22337,8079,510,566,90.1,585,665,88.0,121,213,56.8,1,0.6,0.4,6,108,9,3,107
ITA-Serie A,2122,Bologna,Denso Kasius,NED,"DF,FW",18,2002,2.0,103,126,81.7,1521,393,58,62,93.5,41,47,87.2,3,8,37.5,0,0.5,-0.5,5,3,2,1,3
ITA-Serie A,2122,Bologna,Diego Falcinelli,ITA,FW,30,1991,0.7,13,22,59.1,185,11,9,17,52.9,1,1,100.0,2,2,100.0,0,0.0,0.0,0,0,1,0,2
ITA-Serie A,2122,Bologna,Ebenezer Annan,GHA,DF,18,2002,0.3,4,11,36.4,51,17,3,4,75.0,1,5,20.0,0,2,0.0,0,0.0,0.0,0,1,0,0,0
ITA-Serie A,2122,Bologna,Emanuel Vignato,ITA,"MF,DF",20,2000,6.6,341,406,84.0,5179,1418,197,215,91.6,107,118,90.7,25,33,75.8,1,2.2,-1.2,12,32,11,2,55
ITA-Serie A,2122,Bologna,Federico Santander,PAR,"FW,DF",30,1991,0.7,17,29,58.6,242,48,10,16,62.5,5,6,83.3,1,1,100.0,0,0.1,-0.1,1,2,1,0,3
ITA-Serie A,2122,Bologna,Francesco Bardi,ITA,GK,29,1992,2.0,33,49,67.3,748,587,10,10,100.0,12,12,100.0,10,25,40.0,0,0.0,0.0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Gary Medel,CHI,DF,33,1987,31.4,1508,1696,88.9,30848,12958,492,520,94.6,756,802,94.3,245,335,73.1,1,0.3,0.7,3,73,6,0,73
ITA-Serie A,2122,Bologna,Ibrahima Mbaye,SEN,DF,26,1994,1.2,34,52,65.4,381,230,27,33,81.8,6,15,40.0,0,2,0.0,0,0.0,0.0,0,2,0,0,2
ITA-Serie A,2122,Bologna,Jerdy Schouten,NED,MF,24,1997,15.5,665,790,84.2,10733,3656,336,380,88.4,253,292,86.6,51,64,79.7,1,0.7,0.3,12,85,11,0,82
ITA-Serie A,2122,Bologna,Kacper Urbanski,POL,MF,16,2004,0.5,15,21,71.4,213,58,8,11,72.7,5,7,71.4,1,2,50.0,0,0.0,0.0,0,1,0,0,2
ITA-Serie A,2122,Bologna,Kevin Bonifazi,ITA,DF,25,1996,13.4,564,696,81.0,10846,4146,221,242,91.3,263,299,88.0,73,137,53.3,0,0.8,-0.8,4,40,2,0,51
ITA-Serie A,2122,Bologna,Kingsley Michael,NGA,MF,21,1999,0.8,23,26,88.5,371,77,12,13,92.3,9,10,90.0,2,3,66.7,0,0.0,0.0,0,3,0,0,2
ITA-Serie A,2122,Bologna,Lorenzo De Silvestri,ITA,DF,33,1988,25.5,990,1353,73.2,14979,7494,569,671,84.8,323,433,74.6,62,148,41.9,2,2.4,-0.4,21,83,26,12,121
ITA-Serie A,2122,Bologna,Luis Binks,ENG,DF,19,2001,7.2,271,338,80.2,6017,2462,64,90,71.1,155,167,92.8,51,68,75.0,0,0.0,0.0,1,12,0,0,17
ITA-Serie A,2122,Bologna,Marko Arnautović,AUT,FW,32,1989,29.9,659,908,72.6,8749,1621,400,514,77.8,189,246,76.8,23,37,62.2,1,3.8,-2.8,44,30,19,0,68
ITA-Serie A,2122,Bologna,Mattias Svanberg,SWE,MF,22,1999,28.5,766,1037,73.9,12390,4015,407,474,85.9,244,325,75.1,75,155,48.4,3,2.8,0.2,35,85,30,6,103
ITA-Serie A,2122,Bologna,Michel Aebischer,SUI,MF,24,1997,4.9,205,239,85.8,3121,883,105,113,92.9,78,84,92.9,12,22,54.5,0,0.4,-0.4,6,14,4,1,19
ITA-Serie A,2122,Bologna,Mitchell Dijks,NED,"DF,FW",28,1993,7.7,247,338,73.1,3523,1620,147,169,87.0,78,114,68.4,14,27,51.9,2,1.1,0.9,7,12,4,4,15
ITA-Serie A,2122,Bologna,Musa Barrow,GAM,"FW,MF",22,1998,23.7,698,923,75.6,11505,2721,379,423,89.6,206,277,74.4,79,160,49.4,6,4.4,1.6,45,50,39,14,82
ITA-Serie A,2122,Bologna,Nicola Bagnolini,ITA,GK,17,2004,0.0,0,4,0.0,0,0,0,0,,0,0,,0,4,0.0,0,0.0,0.0,0,0,0,0,0
ITA-Serie A,2122,Bologna,Nicola Sansone,ITA,"FW,MF",29,1991,10.0,236,336,70.2,3516,1020,126,152,82.9,65,91,71.4,23,50,46.0,3,2.0,1.0,16,15,12,8,22
ITA-Serie A,2122,Bologna,Nicolas Viola,ITA,MF,31,1989,1.1,44,64,68.8,720,221,25,31,80.6,17,24,70.8,2,7,28.6,0,0.0,0.0,0,3,0,0,3
ITA-Serie A,2122,Bologna,Nicolás Domínguez,ARG,MF,23,1998,22.4,994,1203,82.6,16850,5280,484,553,87.5,375,426,88.0,103,154,66.9,3,2.4,0.6,27,108,29,4,113
