league,season,team,player,nationality,position,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
ITA-Serie A,2122,Atalanta,Alassane Sidibe,CIV,MF,19,2002,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
ITA-Serie A,2122,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",25,1995,8.6,384,364,18,4,3,2,17,3,9,7,1,0,310,2,8
ITA-Serie A,2122,Atalanta,Berat Djimsiti,ALB,DF,28,1993,25.1,1435,1348,84,40,0,14,11,44,0,0,0,0,1192,3,16
ITA-Serie A,2122,Atalanta,Davide Zappacosta,ITA,DF,29,1992,26.1,1503,1262,236,21,1,2,88,211,4,1,0,0,1238,5,40
ITA-Serie A,2122,Atalanta,Duván Zapata,COL,FW,30,1991,19.1,548,494,51,0,3,5,25,5,0,0,0,0,407,3,14
ITA-Serie A,2122,Atalanta,Francesco Rossi,ITA,GK,30,1991,0.4,16,11,5,1,0,0,0,0,0,0,0,0,12,0,0
ITA-Serie A,2122,Atalanta,Giorgio Cittadini,ITA,DF,19,2002,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
ITA-Serie A,2122,Atalanta,Giorgio Scalvini,ITA,"DF,MF",17,2003,8.5,497,474,22,14,0,4,3,8,0,0,0,0,405,1,4
ITA-Serie A,2122,Atalanta,Giuseppe Pezzella,ITA,"DF,MF",23,1997,11.9,658,541,112,4,0,0,37,108,0,0,0,0,508,5,23
ITA-Serie A,2122,Atalanta,Hans Hateboer,NED,"DF,MF",27,1994,15.4,850,719,128,9,0,5,38,119,0,0,0,0,703,3,25
ITA-Serie A,2122,Atalanta,Jeremie Boga,CIV,"FW,MF",24,1997,8.5,419,390,28,4,2,2,24,8,16,9,4,0,333,1,11
ITA-Serie A,2122,Atalanta,Joakim Mæhle,DEN,"DF,MF",24,1997,16.3,930,786,140,5,1,3,27,134,1,0,0,0,752,4,23
ITA-Serie A,2122,Atalanta,Josip Iličić,SVN,"MF,FW",33,1988,9.3,492,453,38,6,5,16,41,2,27,12,11,0,359,1,9
