league,season,team,player,nationality,position,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles,dribbles_completed,dribbles_completed_pct,dribbles_tackled,dribbles_tackled_pct,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
ITA-Serie A,2122,Atalanta,Alassane Sidibe,CIV,MF,19,2002,0.1,4,0,2,1,1,0,4,0,0,,0,,1,2,2,0,0,0,0,0,2,0
ITA-Serie A,2122,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",25,1995,8.6,486,8,37,195,258,40,486,28,16,57.1,12,42.9,371,2153,984,31,21,16,25,17,396,65
ITA-Serie A,2122,Atalanta,Berat Djimsiti,ALB,DF,28,1993,25.1,1663,112,645,839,188,24,1663,6,4,66.7,2,33.3,909,3938,2025,19,19,0,18,3,1042,31
ITA-Serie A,2122,Atalanta,Davide Zappacosta,ITA,DF,29,1992,26.1,1744,45,352,721,685,87,1744,52,24,46.2,28,53.8,1000,5443,3095,94,61,25,29,23,1206,178
ITA-Serie A,2122,Atalanta,Duván Zapata,COL,FW,30,1991,19.1,814,8,22,259,539,192,811,61,28,45.9,33,54.1,543,3114,1478,66,40,38,87,43,675,213
ITA-Serie A,2122,Atalanta,Francesco Rossi,ITA,GK,30,1991,0.4,17,17,17,0,0,0,17,0,0,,0,,8,24,12,0,0,0,0,0,10,0
ITA-Serie A,2122,Atalanta,Giorgio Cittadini,ITA,DF,19,2002,0.0,3,1,1,1,1,0,3,0,0,,0,,2,8,0,0,0,0,0,0,0,0
ITA-Serie A,2122,Atalanta,Giorgio Scalvini,ITA,"DF,MF",17,2003,8.5,599,22,223,276,104,26,599,6,4,66.7,2,33.3,322,1253,644,9,7,2,13,6,385,15
ITA-Serie A,2122,Atalanta,Giuseppe Pezzella,ITA,"DF,MF",23,1997,11.9,788,22,169,348,285,23,788,19,8,42.1,11,57.9,443,2351,1237,35,29,7,18,12,495,80
ITA-Serie A,2122,Atalanta,Hans Hateboer,NED,"DF,MF",27,1994,15.4,973,33,172,396,408,39,973,10,5,50.0,5,50.0,582,2933,1596,37,27,6,21,9,681,121
ITA-Serie A,2122,Atalanta,Jeremie Boga,CIV,"FW,MF",24,1997,8.5,531,5,44,180,315,59,531,59,31,52.5,28,47.5,366,2848,1451,64,40,27,21,18,406,77
ITA-Serie A,2122,Atalanta,Joakim Mæhle,DEN,"DF,MF",24,1997,16.3,1113,25,240,476,409,33,1113,41,12,29.3,29,70.7,618,3108,1707,48,35,6,16,19,693,109
ITA-Serie A,2122,Atalanta,Josip Iličić,SVN,"MF,FW",33,1988,9.3,618,4,40,242,344,53,617,40,27,67.5,13,32.5,455,2528,1146,43,20,18,39,10,516,98
ITA-Serie A,2122,Atalanta,José Luis Palomino,ARG,DF,31,1990,29.7,2013,173,885,1051,103,35,2013,8,6,75.0,2,25.0,1029,5952,2746,15,14,1,15,7,1070,8
ITA-Serie A,2122,Atalanta,Juan Musso,ARG,GK,27,1994,32.6,1019,831,1010,10,0,0,1019,1,1,100.0,0,0.0,589,3258,2006,0,0,0,0,0,451,0
ITA-Serie A,2122,Atalanta,Luis Muriel,COL,"FW,MF",30,1991,17.1,1014,6,41,355,630,118,1012,104,62,59.6,42,40.4,629,3982,1642,57,45,43,63,47,779,214
ITA-Serie A,2122,Atalanta,Marco Sportiello,ITA,GK,29,1992,5.0,145,123,143,2,0,0,145,0,0,,0,,87,403,248,0,0,0,0,0,56,0
ITA-Serie A,2122,Atalanta,Mario Pašalić,CRO,"MF,FW",26,1995,22.2,1257,24,163,657,444,109,1257,31,15,48.4,16,51.6,712,3305,1540,38,32,18,59,22,922,142
ITA-Serie A,2122,Atalanta,Marten de Roon,NED,"MF,DF",30,1991,28.3,1952,74,507,1129,327,19,1952,10,5,50.0,5,50.0,1090,4624,2313,19,23,2,13,7,1232,30
ITA-Serie A,2122,Atalanta,Matteo Lovato,ITA,DF,21,2000,3.4,230,17,80,127,24,3,230,1,0,0.0,1,100.0,115,451,265,2,3,1,6,2,158,4
ITA-Serie A,2122,Atalanta,Matteo Pessina,ITA,"MF,FW",24,1997,16.0,1064,14,168,549,370,54,1064,36,23,63.9,13,36.1,671,3530,1709,40,35,9,41,17,766,102
ITA-Serie A,2122,Atalanta,Merih Demiral,TUR,DF,23,1998,21.3,1070,132,554,465,61,34,1070,4,2,50.0,2,50.0,531,2903,1018,3,8,2,15,5,544,7
ITA-Serie A,2122,Atalanta,Moustapha Cissé,GUI,FW,17,2003,0.4,20,0,1,8,11,3,20,1,1,100.0,0,0.0,9,60,34,2,1,0,5,1,17,4
ITA-Serie A,2122,Atalanta,Rafael Tolói,ITA,DF,30,1990,16.0,1111,76,393,581,144,18,1111,14,7,50.0,7,50.0,648,2826,1402,12,22,0,12,5,698,14
ITA-Serie A,2122,Atalanta,Remo Freuler,SUI,MF,29,1992,26.3,2036,55,343,1162,546,37,2036,35,20,57.1,15,42.9,1187,6064,3054,52,52,7,40,24,1423,59
ITA-Serie A,2122,Atalanta,Roberto Piccoli,ITA,FW,20,2001,2.2,72,0,4,29,40,12,72,3,1,33.3,2,66.7,41,145,31,2,1,2,7,10,56,15
ITA-Serie A,2122,Atalanta,Robin Gosens,GER,DF,27,1994,5.1,310,9,62,143,105,22,310,3,0,0.0,3,100.0,161,509,319,8,5,3,6,1,196,24
ITA-Serie A,2122,Atalanta,Ruslan Malinovskyi,UKR,"MF,FW",28,1993,17.7,1161,4,81,516,588,47,1161,65,47,72.3,18,27.7,731,4534,2212,59,54,10,70,48,883,141
ITA-Serie A,2122,Atalanta,Sam Lammers,NED,"FW,MF",24,1997,0.4,31,0,0,14,17,3,31,2,0,0.0,2,100.0,18,53,23,0,0,0,6,0,28,8
ITA-Serie A,2122,Atalanta,Teun Koopmeiners,NED,MF,23,1998,23.6,1715,35,333,854,550,39,1715,36,21,58.3,15,41.7,976,4381,2183,38,37,11,43,19,1180,81
ITA-Serie A,2122,Atalanta,Tommaso De Nipoti,ITA,FW,18,2003,0.1,2,0,0,2,0,0,2,0,0,,0,,1,1,1,0,0,0,1,0,1,0
