league,season,team,player,nationality,position,age,birth_year,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
ITA-Serie A,2122,Atalanta,Alassane Sidibe,CIV,MF,19,2002,0.1,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",25,1995,8.6,2,14,4,28.6,1.63,0.47,0.14,0.5,0,0,1.4,1.4,0.1,0.6,0.6
ITA-Serie A,2122,Atalanta,Berat Djimsiti,ALB,DF,28,1993,25.1,1,18,3,16.7,0.72,0.12,0.06,0.33,0,0,1.9,1.9,0.1,-0.9,-0.9
ITA-Serie A,2122,Atalanta,Davide Zappacosta,ITA,DF,29,1992,26.1,1,37,5,13.5,1.42,0.19,0.03,0.2,0,0,2.1,2.1,0.06,-1.1,-1.1
ITA-Serie A,2122,Atalanta,Duván Zapata,COL,FW,30,1991,19.1,10,78,31,39.7,4.08,1.62,0.09,0.23,3,3,13.5,11.2,0.14,-3.5,-4.2
ITA-Serie A,2122,Atalanta,Francesco Rossi,ITA,GK,30,1991,0.4,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Atalanta,Giorgio Cittadini,ITA,DF,19,2002,0.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Atalanta,Giorgio Scalvini,ITA,"DF,MF",17,2003,8.5,1,16,3,18.8,1.89,0.35,0.06,0.33,0,0,1.3,1.3,0.08,-0.3,-0.3
ITA-Serie A,2122,Atalanta,Giuseppe Pezzella,ITA,"DF,MF",23,1997,11.9,0,9,1,11.1,0.76,0.08,0.0,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6
ITA-Serie A,2122,Atalanta,Hans Hateboer,NED,"DF,MF",27,1994,15.4,0,17,2,11.8,1.1,0.13,0.0,0.0,0,0,1.4,1.4,0.08,-1.4,-1.4
ITA-Serie A,2122,Atalanta,Jeremie Boga,CIV,"FW,MF",24,1997,8.5,0,21,5,23.8,2.47,0.59,0.0,0.0,0,0,1.0,1.0,0.05,-1.0,-1.0
ITA-Serie A,2122,Atalanta,Joakim Mæhle,DEN,"DF,MF",24,1997,16.3,1,21,4,19.0,1.28,0.24,0.05,0.25,0,0,2.0,2.0,0.1,-1.0,-1.0
ITA-Serie A,2122,Atalanta,Josip Iličić,SVN,"MF,FW",33,1988,9.3,3,31,7,22.6,3.32,0.75,0.1,0.43,0,1,3.1,2.4,0.08,-0.1,0.6
ITA-Serie A,2122,Atalanta,José Luis Palomino,ARG,DF,31,1990,29.7,1,14,3,21.4,0.47,0.1,0.07,0.33,0,0,2.1,2.1,0.15,-1.1,-1.1
ITA-Serie A,2122,Atalanta,Juan Musso,ARG,GK,27,1994,32.6,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Atalanta,Luis Muriel,COL,"FW,MF",30,1991,17.1,9,55,16,29.1,3.22,0.94,0.13,0.44,2,2,7.1,5.6,0.1,1.9,1.4
ITA-Serie A,2122,Atalanta,Marco Sportiello,ITA,GK,29,1992,5.0,0,0,0,,0.0,0.0,,,0,0,0.0,0.0,,0.0,0.0
ITA-Serie A,2122,Atalanta,Mario Pašalić,CRO,"MF,FW",26,1995,22.2,13,49,20,40.8,2.2,0.9,0.27,0.65,0,0,8.7,8.7,0.18,4.3,4.3
ITA-Serie A,2122,Atalanta,Marten de Roon,NED,"MF,DF",30,1991,28.3,3,23,5,21.7,0.81,0.18,0.13,0.6,0,0,2.0,2.0,0.09,1.0,1.0
ITA-Serie A,2122,Atalanta,Matteo Lovato,ITA,DF,21,2000,3.4,0,1,0,0.0,0.3,0.0,0.0,,0,0,0.0,0.0,0.04,0.0,0.0
ITA-Serie A,2122,Atalanta,Matteo Pessina,ITA,"MF,FW",24,1997,16.0,1,28,9,32.1,1.75,0.56,0.04,0.11,0,0,2.4,2.4,0.09,-1.4,-1.4
ITA-Serie A,2122,Atalanta,Merih Demiral,TUR,DF,23,1998,21.3,1,25,6,24.0,1.17,0.28,0.04,0.17,0,0,2.4,2.4,0.1,-1.4,-1.4
ITA-Serie A,2122,Atalanta,Moustapha Cissé,GUI,FW,17,2003,0.4,1,3,1,33.3,7.11,2.37,0.33,1.0,0,0,0.6,0.6,0.2,0.4,0.4
