league,season,team,player,nationality,position,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xa,Progression_PrgR,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90
ITA-Serie A,2122,Atalanta,Alassane Sidibe,CIV,MF,19,2002,1,0,6,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Atalanta,Aleksei Miranchuk,RUS,"MF,FW",25,1995,19,7,772,2,5,0,0,0,0,1.4,1.4,2.7,65,0.23,0.58,0.82,0.23,0.82,0.16,0.32,0.48,0.16,0.48
ITA-Serie A,2122,Atalanta,Berat Djimsiti,ALB,DF,28,1993,31,25,2256,1,1,0,0,6,0,1.9,1.9,1.6,31,0.04,0.04,0.08,0.04,0.08,0.07,0.07,0.14,0.07,0.14
ITA-Serie A,2122,Atalanta,Davide Zappacosta,ITA,DF,29,1992,34,29,2345,1,5,0,0,6,0,2.1,2.1,4.0,178,0.04,0.19,0.23,0.04,0.23,0.08,0.15,0.23,0.08,0.23
ITA-Serie A,2122,Atalanta,Duván Zapata,COL,FW,30,1991,24,20,1722,10,4,3,3,3,0,13.5,11.2,4.4,213,0.52,0.21,0.73,0.37,0.57,0.71,0.23,0.94,0.58,0.81
ITA-Serie A,2122,Atalanta,Francesco Rossi,ITA,GK,30,1991,1,0,37,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Atalanta,Giorgio Cittadini,ITA,DF,19,2002,2,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA-Serie A,2122,Atalanta,Giorgio Scalvini,ITA,"DF,MF",17,2003,18,9,763,1,0,0,0,1,0,1.3,1.3,0.9,15,0.12,0.0,0.12,0.12,0.12,0.16,0.1,0.26,0.16,0.26
ITA-Serie A,2122,Atalanta,Giuseppe Pezzella,ITA,"DF,MF",23,1997,21,10,1072,0,2,0,0,3,0,0.6,0.6,0.9,80,0.0,0.17,0.17,0.0,0.17,0.05,0.07,0.13,0.05,0.13
ITA-Serie A,2122,Atalanta,Hans Hateboer,NED,"DF,MF",27,1994,21,16,1386,0,0,0,0,2,0,1.4,1.4,0.8,121,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.15,0.09,0.15
ITA-Serie A,2122,Atalanta,Jeremie Boga,CIV,"FW,MF",24,1997,15,7,764,0,0,0,0,0,0,1.0,1.0,1.1,77,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.26,0.12,0.26
ITA-Serie A,2122,Atalanta,Joakim Mæhle,DEN,"DF,MF",24,1997,26,15,1471,1,1,0,0,2,0,2.0,2.0,1.0,109,0.06,0.06,0.12,0.06,0.12,0.13,0.06,0.19,0.13,0.19
ITA-Serie A,2122,Atalanta,Josip Iličić,SVN,"MF,FW",33,1988,20,8,841,3,3,0,1,1,0,3.1,2.4,3.3,98,0.32,0.32,0.64,0.32,0.64,0.34,0.36,0.69,0.25,0.61
