league,season,team,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors
ITA-Serie A,2122,Atalanta,630,341,252,271,107,299,635,47.1,336,436,96,340,441,483,6
ITA-Serie A,2122,Bologna,530,298,261,202,67,216,528,40.9,312,384,127,257,370,678,5
ITA-Serie A,2122,Cagliari,557,303,263,229,65,230,544,42.3,314,406,128,278,397,747,5
ITA-Serie A,2122,Empoli,568,327,268,208,92,273,606,45.0,333,451,177,274,352,772,10
ITA-Serie A,2122,Fiorentina,508,301,232,203,73,268,540,49.6,272,357,91,266,244,407,15
ITA-Serie A,2122,Genoa,739,416,324,302,113,349,727,48.0,378,487,134,353,449,751,15
ITA-Serie A,2122,Hellas Verona,534,308,248,214,72,238,557,42.7,319,414,107,307,392,779,9
ITA-Serie A,2122,Inter,588,332,265,240,83,247,545,45.3,298,360,110,250,332,485,11
ITA-Serie A,2122,Juventus,555,316,260,217,78,236,529,44.6,293,392,134,258,332,677,9
ITA-Serie A,2122,Lazio,578,339,246,255,77,238,621,38.3,383,416,144,272,315,565,10
ITA-Serie A,2122,Milan,697,421,304,288,105,281,583,48.2,302,371,110,261,355,477,12
ITA-Serie A,2122,Napoli,550,327,246,227,77,268,617,43.4,349,371,108,263,296,510,8
ITA-Serie A,2122,Roma,613,362,282,253,78,283,622,45.5,339,383,82,301,385,552,9
ITA-Serie A,2122,Salernitana,541,321,274,208,59,277,579,47.8,302,394,146,248,353,777,3
ITA-Serie A,2122,Sampdoria,562,327,277,217,68,288,629,45.8,341,383,134,249,443,723,11
ITA-Serie A,2122,Sassuolo,482,271,252,163,67,236,574,41.1,338,422,127,295,314,664,19
ITA-Serie A,2122,Spezia,580,343,301,205,74,266,585,45.5,319,465,176,289,372,736,8
ITA-Serie A,2122,Torino,531,314,223,234,74,228,440,51.8,212,375,108,267,423,651,4
ITA-Serie A,2122,Udinese,622,350,282,271,69,284,643,44.2,359,432,122,310,351,671,12
ITA-Serie A,2122,Venezia,613,352,325,217,71,273,626,43.6,353,495,202,293,388,865,13
ITA-Serie A,2223,Atalanta,636,364,291,272,73,312,634,49.2,322,455,93,362,421,613,12
ITA-Serie A,2223,Bologna,648,373,310,255,83,297,618,48.1,321,414,131,283,302,652,7
ITA-Serie A,2223,Cremonese,704,400,403,228,73,364,729,49.9,365,432,136,296,393,771,13
ITA-Serie A,2223,Empoli,606,364,316,218,72,254,538,47.2,284,449,183,266,280,910,4
ITA-Serie A,2223,Fiorentina,581,337,232,260,89,282,531,53.1,249,356,84,272,260,473,11
ITA-Serie A,2223,Hellas Verona,605,357,319,228,58,296,562,52.7,266,445,143,302,337,745,12
ITA-Serie A,2223,Inter,572,325,247,241,84,258,523,49.3,265,385,110,275,315,541,7
ITA-Serie A,2223,Juventus,594,352,296,219,79,288,558,51.6,270,421,131,290,307,704,10
ITA-Serie A,2223,Lazio,582,349,261,234,87,277,625,44.3,348,437,126,311,310,606,8
