league,season,team,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense
ITA-Serie A,2122,Atalanta,1078,28.37,776,98,69,87,32,16,110,2.89,88,2,8,8,3,1
ITA-Serie A,2122,Bologna,777,20.45,599,71,26,41,34,6,76,2.0,59,7,2,5,3,0
ITA-Serie A,2122,Cagliari,742,19.53,521,86,25,63,34,13,61,1.61,43,5,2,5,5,1
ITA-Serie A,2122,Empoli,835,21.97,622,67,40,51,42,13,84,2.21,59,6,5,8,6,0
ITA-Serie A,2122,Fiorentina,908,23.89,655,85,40,60,59,9,99,2.61,67,3,4,13,9,3
ITA-Serie A,2122,Genoa,684,18.0,462,75,35,40,53,19,48,1.26,33,4,5,0,5,1
ITA-Serie A,2122,Hellas Verona,796,20.95,607,65,34,42,32,16,106,2.79,89,3,5,4,5,0
ITA-Serie A,2122,Inter,1184,31.16,885,104,44,93,37,21,149,3.92,114,12,4,14,5,0
ITA-Serie A,2122,Juventus,917,24.13,677,60,62,57,49,12,99,2.61,73,5,9,7,5,0
ITA-Serie A,2122,Lazio,798,21.0,610,55,40,42,41,10,128,3.37,82,11,12,12,9,2
ITA-Serie A,2122,Milan,1026,27.0,717,75,71,85,59,19,105,2.76,75,2,7,14,5,2
ITA-Serie A,2122,Napoli,1021,26.87,778,63,57,53,48,22,126,3.32,89,9,3,11,10,4
ITA-Serie A,2122,Roma,1031,27.13,695,110,60,93,56,17,94,2.47,54,9,9,13,9,0
ITA-Serie A,2122,Salernitana,739,19.45,500,85,35,55,54,10,58,1.53,33,7,3,8,7,0
ITA-Serie A,2122,Sampdoria,680,17.89,496,65,33,41,35,10,69,1.82,47,6,3,7,5,1
ITA-Serie A,2122,Sassuolo,1010,26.58,795,56,72,37,38,12,104,2.74,80,4,10,2,8,0
ITA-Serie A,2122,Spezia,663,17.45,469,59,45,40,38,12,61,1.61,39,4,3,9,3,3
ITA-Serie A,2122,Torino,827,21.76,589,92,35,61,41,9,74,1.95,50,3,6,9,5,1
ITA-Serie A,2122,Udinese,860,22.63,582,88,58,68,51,13,92,2.42,54,8,8,13,8,1
ITA-Serie A,2122,Venezia,617,16.24,440,56,30,31,46,14,57,1.5,41,4,1,5,6,0
ITA-Serie A,2223,Atalanta,928,24.42,681,87,64,51,33,12,113,2.97,83,5,6,11,7,1
ITA-Serie A,2223,Bologna,866,22.79,642,72,45,49,46,12,91,2.39,64,11,3,7,6,0
ITA-Serie A,2223,Cremonese,789,20.76,551,81,37,61,45,14,53,1.39,31,5,4,9,4,0
ITA-Serie A,2223,Empoli,767,20.18,537,77,46,46,47,14,60,1.58,39,6,6,5,4,0
ITA-Serie A,2223,Fiorentina,1068,28.11,763,113,54,70,53,15,89,2.34,64,6,7,7,4,1
ITA-Serie A,2223,Hellas Verona,704,18.53,482,90,41,42,29,20,50,1.32,31,4,5,7,2,1
ITA-Serie A,2223,Inter,1104,29.05,816,117,29,79,52,11,118,3.11,88,4,7,10,7,2
ITA-Serie A,2223,Juventus,911,23.97,638,94,50,77,38,14,91,2.39,61,7,3,9,9,2
ITA-Serie A,2223,Lazio,760,20.0,576,56,44,43,32,9,103,2.71,78,3,6,11,5,0
ITA-Serie A,2223,Lecce,699,18.39,483,84,43,42,38,9,50,1.32,38,2,4,3,2,1
ITA-Serie A,2223,Milan,985,25.92,688,91,65,68,58,15,111,2.92,76,6,15,7,4,3
ITA-Serie A,2223,Monza,714,18.79,537,60,30,40,35,12,86,2.26,62,5,6,4,8,1
ITA-Serie A,2223,Napoli,1105,29.08,819,92,58,66,47,23,131,3.45,98,8,4,14,6,1
ITA-Serie A,2223,Roma,861,22.66,574,110,43,68,53,13,85,2.24,52,10,5,12,5,1
ITA-Serie A,2223,Salernitana,656,17.26,489,58,27,44,30,8,81,2.13,64,4,4,7,2,0
ITA-Serie A,2223,Sampdoria,637,16.76,456,52,28,46,39,16,36,0.95,26,2,1,4,1,2
ITA-Serie A,2223,Sassuolo,871,22.92,684,50,49,41,34,13,81,2.13,56,4,4,10,7,0
ITA-Serie A,2223,Spezia,710,18.68,511,61,39,43,38,18,42,1.11,29,1,3,5,4,0
ITA-Serie A,2223,Torino,821,21.61,635,61,52,40,21,12,74,1.95,58,2,7,4,3,0
ITA-Serie A,2223,Udinese,889,23.39,625,87,53,58,51,15,80,2.11,61,6,3,3,5,2
ITA-Serie A,2324,Atalanta,971,25.55,735,80,56,55,32,13,128,3.37,103,9,2,7,6,1
ITA-Serie A,2324,Bologna,823,21.66,611,64,57,52,30,9,78,2.05,50,1,8,13,6,0
ITA-Serie A,2324,Cagliari,785,20.66,550,80,41,54,43,17,70,1.84,44,5,6,10,3,2
ITA-Serie A,2324,Empoli,718,18.89,480,84,34,48,57,15,46,1.21,30,3,3,4,6,0
ITA-Serie A,2324,Fiorentina,910,23.95,679,79,37,59,44,12,106,2.79,71,11,8,10,5,1
ITA-Serie A,2324,Frosinone,801,21.08,572,82,54,41,39,13,75,1.97,46,10,3,4,9,3
ITA-Serie A,2324,Genoa,705,18.55,448,105,29,57,58,8,75,1.97,53,3,5,10,4,0
ITA-Serie A,2324,Hellas Verona,777,20.45,546,91,39,42,40,19,69,1.82,46,6,5,4,4,4
ITA-Serie A,2324,Inter,1059,27.87,819,85,24,68,47,16,152,4.0,109,9,7,10,13,4
ITA-Serie A,2324,Juventus,936,24.63,669,89,51,68,38,21,87,2.29,54,6,4,14,6,3
ITA-Serie A,2324,Lazio,762,20.05,573,60,34,49,34,12,74,1.95,54,2,2,9,6,1
ITA-Serie A,2324,Lecce,879,23.13,593,92,57,69,42,26,49,1.29,30,4,3,3,6,3
ITA-Serie A,2324,Milan,1006,26.47,726,86,74,73,33,14,139,3.66,102,7,15,10,4,1
ITA-Serie A,2324,Monza,800,21.05,609,64,31,50,33,13,68,1.79,53,3,4,4,4,0
ITA-Serie A,2324,Napoli,1145,30.13,835,85,73,86,52,14,86,2.26,58,3,6,7,9,3
ITA-Serie A,2324,Roma,858,22.58,617,79,38,61,51,12,112,2.95,68,8,9,16,11,0
ITA-Serie A,2324,Salernitana,699,18.39,515,68,24,48,30,14,52,1.37,35,6,3,6,2,0
ITA-Serie A,2324,Sassuolo,825,21.71,620,62,45,49,38,11,73,1.92,50,4,1,8,8,2
ITA-Serie A,2324,Torino,764,20.11,563,74,32,47,36,12,63,1.66,46,4,4,4,3,2
ITA-Serie A,2324,Udinese,793,20.87,528,84,50,68,46,17,63,1.66,39,3,6,9,5,1
ITA-Serie A,2425,Atalanta,966,25.42,736,75,51,71,22,11,131,3.45,105,5,4,13,4,0
ITA-Serie A,2425,Bologna,913,24.03,666,84,39,53,51,20,103,2.71,78,3,3,9,7,3
ITA-Serie A,2425,Cagliari,748,19.68,516,88,36,66,34,8,71,1.87,54,4,2,5,5,1
ITA-Serie A,2425,Como,920,24.21,673,84,44,66,40,13,79,2.08,66,2,5,3,1,2
ITA-Serie A,2425,Empoli,638,16.79,452,53,41,35,39,18,51,1.34,35,4,5,4,2,1
ITA-Serie A,2425,Fiorentina,799,21.03,579,59,51,50,45,15,100,2.63,65,8,9,10,8,0
