league,season,team,players_used,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
ITA-Serie A,2122,Atalanta,3,38,38,3419,48,1.26,139,94,69.1,16,11,11,10,26.3,6,5,0,1
ITA-Serie A,2122,Bologna,3,38,38,3420,55,1.45,184,130,74.5,12,10,16,13,34.2,9,8,1,0
ITA-Serie A,2122,Cagliari,2,38,38,3420,68,1.79,185,115,67.0,6,12,20,3,7.9,10,7,3,0
ITA-Serie A,2122,Empoli,1,38,38,3420,70,1.84,216,150,69.9,10,11,17,7,18.4,10,5,2,3
ITA-Serie A,2122,Fiorentina,2,38,38,3418,51,1.34,126,75,61.9,19,5,14,11,28.9,5,3,2,0
ITA-Serie A,2122,Genoa,2,38,38,3420,60,1.58,184,125,69.6,4,16,18,10,26.3,5,4,1,0
ITA-Serie A,2122,Hellas Verona,3,38,38,3420,59,1.55,159,101,64.8,14,11,13,4,10.5,4,3,1,0
ITA-Serie A,2122,Inter,2,38,38,3420,32,0.84,127,96,78.0,25,9,4,15,39.5,4,4,0,0
ITA-Serie A,2122,Juventus,3,38,38,3420,37,0.97,123,84,73.2,20,10,8,13,34.2,7,4,3,0
ITA-Serie A,2122,Lazio,2,38,38,3420,58,1.53,146,89,63.7,18,10,10,9,23.7,6,5,0,1
ITA-Serie A,2122,Milan,2,38,38,3420,31,0.82,125,95,78.4,26,8,4,18,47.4,5,4,1,0
ITA-Serie A,2122,Napoli,3,38,38,3420,31,0.82,136,106,77.9,24,7,7,16,42.1,1,1,0,0
ITA-Serie A,2122,Roma,1,38,38,3420,43,1.13,146,104,74.0,18,9,11,15,39.5,6,5,1,0
ITA-Serie A,2122,Salernitana,3,38,38,3420,78,2.05,221,144,67.4,7,10,21,2,5.3,8,6,1,1
ITA-Serie A,2122,Sampdoria,3,38,38,3420,63,1.66,185,123,67.6,10,6,22,7,18.4,4,3,1,0
ITA-Serie A,2122,Sassuolo,3,38,38,3420,66,1.74,177,111,67.2,13,11,14,3,7.9,9,8,1,0
ITA-Serie A,2122,Spezia,3,38,38,3420,71,1.87,208,139,70.7,10,6,22,7,18.4,13,10,1,2
ITA-Serie A,2122,Torino,3,38,38,3420,41,1.08,124,81,74.2,13,11,14,9,23.7,11,9,2,0
ITA-Serie A,2122,Udinese,2,38,38,3420,58,1.53,162,105,67.3,11,14,13,8,21.1,7,5,0,2
ITA-Serie A,2122,Venezia,3,38,38,3420,69,1.82,228,161,74.6,6,9,23,4,10.5,12,11,0,1
ITA-Serie A,2223,Atalanta,3,38,38,3420,48,1.26,153,107,70.6,19,7,12,9,23.7,3,3,0,0
ITA-Serie A,2223,Bologna,2,38,38,3420,49,1.29,165,117,74.5,14,12,12,8,21.1,9,7,2,0
ITA-Serie A,2223,Cremonese,3,38,38,3420,69,1.82,225,157,71.6,5,12,21,6,15.8,5,5,0,0
ITA-Serie A,2223,Empoli,3,38,38,3420,49,1.29,159,110,71.7,10,13,15,9,23.7,6,4,1,1
ITA-Serie A,2223,Fiorentina,4,38,38,3420,43,1.13,120,78,70.0,15,11,12,10,26.3,8,7,1,0
ITA-Serie A,2223,Hellas Verona,2,38,38,3420,59,1.55,185,128,68.6,7,10,21,6,15.8,2,1,1,0
ITA-Serie A,2223,Inter,3,38,38,3420,42,1.11,137,98,71.5,23,3,12,13,34.2,3,3,0,0
ITA-Serie A,2223,Juventus,2,38,38,3420,33,0.87,133,99,78.2,22,6,10,20,52.6,5,4,1,0
ITA-Serie A,2223,Lazio,2,38,38,3418,30,0.79,128,99,77.3,22,8,8,21,55.3,2,1,0,1
ITA-Serie A,2223,Lecce,1,38,38,3420,46,1.21,156,112,73.7,8,12,18,6,15.8,6,5,1,0
ITA-Serie A,2223,Milan,3,38,38,3420,43,1.13,123,80,68.3,20,10,8,12,31.6,5,4,1,0
ITA-Serie A,2223,Monza,2,38,38,3420,52,1.37,172,121,71.5,14,10,14,10,26.3,3,3,0,0
ITA-Serie A,2223,Napoli,2,38,38,3420,28,0.74,107,78,74.8,28,6,4,18,47.4,2,1,1,0
ITA-Serie A,2223,Roma,2,38,38,3420,38,1.0,118,80,69.5,18,9,11,14,36.8,3,2,1,0
ITA-Serie A,2223,Salernitana,3,38,38,3420,62,1.63,196,130,71.9,9,15,14,7,18.4,11,7,4,0
ITA-Serie A,2223,Sampdoria,3,38,38,3420,71,1.87,215,144,70.7,3,10,25,4,10.5,11,8,2,1
ITA-Serie A,2223,Sassuolo,3,38,38,3420,61,1.61,130,71,56.2,12,9,17,9,23.7,4,4,0,0
ITA-Serie A,2223,Spezia,4,38,38,3420,62,1.63,183,123,68.9,6,13,19,6,15.8,7,5,1,1
ITA-Serie A,2223,Torino,1,38,38,3420,41,1.08,136,95,73.5,14,11,13,11,28.9,6,5,0,1
ITA-Serie A,2223,Udinese,1,38,38,3420,48,1.26,137,91,69.3,11,13,14,10,26.3,7,6,0,1
ITA-Serie A,2324,Atalanta,3,38,38,3420,42,1.11,142,99,74.6,21,6,11,15,39.5,9,6,2,1
ITA-Serie A,2324,Bologna,3,38,38,3420,32,0.84,125,91,76.8,18,14,6,17,44.7,7,3,2,2
ITA-Serie A,2324,Cagliari,3,38,38,3420,68,1.79,157,92,59.2,8,12,18,5,13.2,5,4,0,1
ITA-Serie A,2324,Empoli,3,38,38,3420,54,1.42,185,130,74.1,9,9,20,9,23.7,8,6,2,0
ITA-Serie A,2324,Fiorentina,3,38,38,3420,46,1.21,148,101,74.3,17,9,12,8,21.1,9,8,1,0
ITA-Serie A,2324,Frosinone,2,38,38,3420,69,1.82,180,112,64.4,8,11,19,7,18.4,8,5,1,2
ITA-Serie A,2324,Genoa,3,38,38,3420,45,1.18,139,94,69.8,12,13,13,9,23.7,4,3,1,0
ITA-Serie A,2324,Hellas Verona,2,38,38,3420,51,1.34,163,113,69.9,9,11,18,8,21.1,2,2,0,0
ITA-Serie A,2324,Inter,3,38,38,3420,22,0.58,113,90,82.3,29,7,2,21,55.3,4,2,1,1
ITA-Serie A,2324,Juventus,3,38,38,3420,31,0.82,116,86,75.0,19,14,5,17,44.7,3,2,1,0
ITA-Serie A,2324,Lazio,2,38,38,3420,39,1.03,148,109,75.0,18,7,13,13,34.2,3,2,0,1
ITA-Serie A,2324,Lecce,1,38,38,3420,54,1.42,173,119,71.7,8,14,16,7,18.4,6,5,1,0
ITA-Serie A,2324,Milan,4,38,38,3419,49,1.29,163,115,74.8,22,9,7,13,34.2,8,8,0,0
ITA-Serie A,2324,Monza,2,38,38,3420,51,1.34,191,138,77.0,11,12,15,12,31.6,9,7,2,0
ITA-Serie A,2324,Napoli,3,38,38,3420,48,1.26,128,78,64.1,13,14,11,7,18.4,4,2,2,0
ITA-Serie A,2324,Roma,2,38,38,3420,46,1.21,151,107,71.5,18,9,11,11,28.9,5,3,1,1
ITA-Serie A,2324,Salernitana,3,38,38,3420,81,2.13,207,128,65.7,2,11,25,2,5.3,10,10,0,0
ITA-Serie A,2324,Sassuolo,2,38,38,3420,75,1.97,173,101,61.3,7,9,22,3,7.9,11,8,1,2
ITA-Serie A,2324,Torino,2,38,38,3420,36,0.95,143,107,79.7,13,14,11,18,47.4,7,7,0,0
ITA-Serie A,2324,Udinese,2,38,38,3420,53,1.39,157,105,72.0,6,19,13,9,23.7,9,9,0,0
ITA-Serie A,2425,Atalanta,3,38,38,3420,37,0.97,147,112,76.2,22,8,8,15,39.5,2,2,0,0
ITA-Serie A,2425,Bologna,2,38,38,3420,47,1.24,106,60,57.5,16,14,8,12,31.6,3,2,1,0
