league,season,team,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
ITA-Serie A,2122,Atalanta,17108,21261,80.5,290891,103683,8273,9367,88.3,6740,7834,86.0,1583,2760,57.4,48,48.5,-0.5,479,1384,425,81,1858
ITA-Serie A,2122,Bologna,14442,18249,79.1,246735,94908,6960,7925,87.8,5408,6437,84.0,1536,2701,56.9,34,33.6,0.4,343,1024,299,89,1276
ITA-Serie A,2122,Cagliari,11503,15761,73.0,221202,88862,4745,5714,83.0,4799,5957,80.6,1656,3147,52.6,26,29.6,-3.6,317,853,226,93,1088
ITA-Serie A,2122,Empoli,12796,16700,76.6,227799,91038,5530,6362,86.9,5584,6695,83.4,1315,2560,51.4,27,28.9,-1.9,343,1013,337,72,1477
ITA-Serie A,2122,Fiorentina,17418,20910,83.3,337614,110293,6638,7448,89.1,8158,9133,89.3,2366,3482,67.9,33,39.2,-6.2,386,1211,346,105,1584
ITA-Serie A,2122,Genoa,11185,15587,71.8,198763,81665,5123,6155,83.2,4390,5629,78.0,1298,2719,47.7,19,26.3,-7.3,281,829,211,74,1101
ITA-Serie A,2122,Hellas Verona,13047,17398,75.0,226861,89360,6087,7199,84.6,5057,6178,81.9,1410,2728,51.7,44,34.1,9.9,333,1046,350,71,1587
ITA-Serie A,2122,Inter,18367,21832,84.1,329949,112120,8090,8994,89.9,7784,8750,89.0,2046,3033,67.5,57,57.3,-0.3,503,1453,451,128,1778
ITA-Serie A,2122,Juventus,16459,19835,83.0,307159,106118,6680,7513,88.9,7417,8335,89.0,2015,3048,66.1,37,36.3,0.7,388,1266,305,79,1464
ITA-Serie A,2122,Lazio,19632,23041,85.2,320293,109239,9872,10871,90.8,7249,8150,88.9,1711,2620,65.3,48,38.8,9.2,346,1398,309,53,1527
ITA-Serie A,2122,Milan,15719,19320,81.4,283818,100443,6814,7777,87.6,6719,7647,87.9,1787,2874,62.2,39,42.8,-3.8,436,1202,371,95,1486
ITA-Serie A,2122,Napoli,19572,22921,85.4,313472,105507,10332,11215,92.1,6928,7820,88.6,1611,2509,64.2,46,37.1,8.9,450,1389,366,57,1665
ITA-Serie A,2122,Roma,15221,18828,80.8,286185,100442,6118,7018,87.2,6937,7898,87.8,1874,3044,61.6,31,46.3,-15.3,434,1200,332,70,1587
ITA-Serie A,2122,Salernitana,10680,14461,73.9,195791,85345,4826,5745,84.0,4093,5155,79.4,1387,2552,54.3,19,24.8,-5.8,305,841,222,99,1031
