league,season,team,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
ITA-Serie A,2122,Atalanta,21261,19317,1876,539,36,192,661,782,229,114,84,1,17108,68,383
ITA-Serie A,2122,Bologna,18249,16283,1910,590,58,109,601,730,183,103,21,1,14442,56,317
ITA-Serie A,2122,Cagliari,15761,13729,1962,574,16,119,675,791,143,48,71,2,11503,70,315
ITA-Serie A,2122,Empoli,16700,14627,1990,528,36,76,704,827,189,63,87,0,12796,83,347
ITA-Serie A,2122,Fiorentina,20910,19005,1848,664,37,246,776,693,195,23,129,0,17418,57,331
ITA-Serie A,2122,Genoa,15587,13605,1910,559,29,74,661,777,155,57,76,1,11185,72,365
ITA-Serie A,2122,Hellas Verona,17398,15513,1788,467,36,101,593,777,166,75,43,0,13047,97,347
ITA-Serie A,2122,Inter,21832,20151,1624,448,54,207,809,630,252,73,141,2,18367,57,339
ITA-Serie A,2122,Juventus,19835,18065,1696,533,41,193,550,662,169,72,66,2,16459,74,297
ITA-Serie A,2122,Lazio,23041,21310,1687,520,54,137,574,663,176,74,71,0,19632,44,296
ITA-Serie A,2122,Milan,19320,17512,1728,564,45,122,672,653,195,61,86,0,15719,80,297
ITA-Serie A,2122,Napoli,22921,21114,1740,536,45,199,553,693,197,85,51,0,19572,67,337
ITA-Serie A,2122,Roma,18828,16921,1847,548,45,136,735,748,238,130,95,0,15221,60,292
ITA-Serie A,2122,Salernitana,14461,12521,1899,576,12,90,698,695,185,56,111,1,10680,41,320
ITA-Serie A,2122,Sampdoria,17022,15064,1876,582,35,151,645,726,143,33,73,0,12901,82,339
ITA-Serie A,2122,Sassuolo,20327,18421,1863,629,59,179,541,612,198,96,62,1,17027,43,315
ITA-Serie A,2122,Spezia,15503,13609,1817,509,32,92,534,731,152,76,58,2,11650,77,318
ITA-Serie A,2122,Torino,18082,16280,1718,519,28,118,663,699,168,80,55,0,13943,84,331
ITA-Serie A,2122,Udinese,15251,13384,1789,523,37,80,519,688,187,64,75,1,11650,78,297
ITA-Serie A,2122,Venezia,15320,13487,1772,493,27,113,585,714,123,57,54,0,11575,61,335
ITA-Serie A,2223,Atalanta,19507,17537,1912,432,35,154,652,893,194,97,67,0,15462,58,359
ITA-Serie A,2223,Bologna,20552,18623,1852,484,58,179,558,830,145,90,41,0,16763,77,368
ITA-Serie A,2223,Cremonese,15041,13147,1826,482,26,99,659,768,146,51,76,0,10872,68,300
ITA-Serie A,2223,Empoli,16862,14830,1978,538,24,105,611,828,163,70,61,0,13199,54,375
ITA-Serie A,2223,Fiorentina,19236,17189,1991,600,30,203,880,831,234,88,99,0,15373,56,336
ITA-Serie A,2223,Hellas Verona,13807,12006,1727,437,23,81,652,721,170,81,63,1,9481,74,334
ITA-Serie A,2223,Inter,21281,19504,1709,443,50,185,885,682,214,66,121,0,17693,68,275
ITA-Serie A,2223,Juventus,18690,16884,1744,449,38,195,731,706,207,64,125,1,15226,62,318
ITA-Serie A,2223,Lazio,21629,19809,1766,540,55,135,483,680,169,71,76,0,18135,54,330
ITA-Serie A,2223,Lecce,14358,12384,1906,504,23,175,709,858,172,56,61,0,10083,68,315
ITA-Serie A,2223,Milan,19734,17874,1799,472,52,126,671,813,187,51,108,0,15948,61,322
ITA-Serie A,2223,Monza,20724,18818,1837,570,33,168,596,711,154,22,111,0,17198,69,327
ITA-Serie A,2223,Napoli,24473,22587,1826,515,36,200,681,785,228,84,74,1,21086,60,337
ITA-Serie A,2223,Roma,17814,15874,1884,528,59,176,595,833,188,84,93,0,14171,56,292
ITA-Serie A,2223,Salernitana,16508,14589,1852,530,25,140,559,720,143,23,66,0,12667,67,324
ITA-Serie A,2223,Sampdoria,16575,14576,1944,598,34,107,599,760,130,36,77,0,12606,55,380
ITA-Serie A,2223,Sassuolo,18306,16248,2015,566,34,195,625,798,177,81,50,0,14805,43,351
ITA-Serie A,2223,Spezia,16501,14437,2009,456,26,107,655,922,193,116,53,0,12399,55,381
ITA-Serie A,2223,Torino,19336,17523,1733,445,36,117,610,742,172,99,42,1,15376,80,336
ITA-Serie A,2223,Udinese,16790,14908,1831,536,37,213,564,707,186,76,52,0,13391,51,329
ITA-Serie A,2324,Atalanta,19961,18129,1769,439,42,124,710,772,210,103,67,1,16051,63,382
ITA-Serie A,2324,Bologna,22504,20652,1797,523,32,137,510,755,165,100,51,1,19125,55,414
ITA-Serie A,2324,Cagliari,14709,12744,1901,505,34,134,852,804,175,46,111,2,10731,64,308
ITA-Serie A,2324,Empoli,15348,13346,1920,550,36,53,672,795,176,52,92,0,11571,82,331
ITA-Serie A,2324,Fiorentina,19975,18072,1846,542,50,146,748,813,199,45,104,1,16180,57,360
ITA-Serie A,2324,Frosinone,17545,15536,1961,525,50,55,524,800,213,69,63,3,13740,48,352
ITA-Serie A,2324,Genoa,15765,13987,1731,487,21,72,610,695,142,50,73,3,12053,47,309
ITA-Serie A,2324,Hellas Verona,14710,12799,1850,538,24,153,724,761,143,37,86,0,10639,61,318
ITA-Serie A,2324,Inter,22447,20739,1631,439,61,165,804,655,228,96,94,0,19136,77,351
ITA-Serie A,2324,Juventus,18079,16332,1675,397,35,156,708,695,193,53,106,0,14757,72,320
ITA-Serie A,2324,Lazio,21071,19202,1797,474,53,85,624,748,197,68,93,0,17462,72,367
ITA-Serie A,2324,Lecce,15397,13439,1902,527,27,96,650,771,172,73,57,0,11742,56,282
ITA-Serie A,2324,Milan,20741,19060,1624,455,49,94,660,617,192,66,77,0,17656,57,296
ITA-Serie A,2324,Monza,19870,18182,1648,458,21,125,584,612,170,29,107,0,16734,40,322
ITA-Serie A,2324,Napoli,22942,20996,1875,519,44,232,737,805,240,81,104,3,19517,71,312
ITA-Serie A,2324,Roma,20523,18783,1674,471,40,106,654,663,167,82,71,0,17066,66,321
ITA-Serie A,2324,Salernitana,15920,13953,1906,559,27,119,596,737,148,26,66,0,12124,61,351
ITA-Serie A,2324,Sassuolo,15683,13729,1928,508,25,118,661,758,202,108,49,1,11978,26,290
ITA-Serie A,2324,Torino,18229,16507,1659,451,14,87,761,685,176,144,24,1,14578,63,300
ITA-Serie A,2324,Udinese,13300,11562,1681,464,24,120,556,669,157,58,74,1,9976,57,270
ITA-Serie A,2425,Atalanta,20998,19273,1671,455,48,117,778,714,194,85,75,1,17454,54,326
ITA-Serie A,2425,Bologna,19336,17378,1895,663,42,138,756,771,191,57,93,0,15681,63,307
ITA-Serie A,2425,Cagliari,15802,13897,1840,481,25,60,758,749,181,38,135,0,12092,65,334
ITA-Serie A,2425,Como,19183,17335,1783,597,52,93,568,726,167,41,70,0,15917,65,358
ITA-Serie A,2425,Empoli,13916,11976,1883,502,34,71,620,786,170,63,60,1,10093,57,312
ITA-Serie A,2425,Fiorentina,17510,15677,1745,600,27,99,588,626,148,66,40,1,14193,88,283
ITA-Serie A,2425,Genoa,15727,13887,1785,514,42,57,663,716,155,58,83,0,12025,55,330
ITA-Serie A,2425,Hellas Verona,13457,11789,1613,403,28,91,562,641,152,68,64,1,9854,55,283
ITA-Serie A,2425,Inter,22592,20929,1573,442,86,132,751,635,221,58,125,1,19412,90,299
ITA-Serie A,2425,Juventus,21231,19605,1574,411,48,101,630,664,190,92,68,0,18259,52,283
ITA-Serie A,2425,Lazio,19521,17715,1760,522,72,118,864,670,229,123,57,0,16400,46,288
ITA-Serie A,2425,Lecce,15087,13201,1834,507,36,84,628,754,165,64,78,0,11490,52,301
ITA-Serie A,2425,Milan,19101,17400,1641,524,90,85,634,544,217,134,18,0,16335,60,248
ITA-Serie A,2425,Monza,17515,15688,1773,575,30,78,656,623,136,41,75,0,14248,54,296
ITA-Serie A,2425,Napoli,20033,18236,1742,487,48,88,681,721,209,137,43,2,16894,55,340
ITA-Serie A,2425,Parma,15805,14017,1757,568,43,75,427,602,168,55,33,1,12509,31,247
ITA-Serie A,2425,Roma,20265,18489,1717,525,50,93,636,687,170,74,65,2,17016,59,287
ITA-Serie A,2425,Torino,17008,15278,1673,443,26,83,675,676,158,95,51,0,13578,57,274
ITA-Serie A,2425,Udinese,16279,14543,1686,465,25,92,679,683,178,64,73,2,12945,50,269
ITA-Serie A,2425,Venezia,15155,13224,1873,526,35,87,529,769,142,60,46,0,11573,58,301
