league,season,team,90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
ITA-Serie A,2122,Atalanta,38,62,598,167,27.9,15.74,4.39,0.1,0.34,5,6,62.4,58.1,0.1,-0.4,-1.1
ITA-Serie A,2122,Bologna,38,43,434,143,32.9,11.42,3.76,0.09,0.27,4,5,44.9,41.0,0.1,-1.9,-2.0
ITA-Serie A,2122,Cagliari,38,34,420,117,27.9,11.05,3.08,0.07,0.26,3,4,39.0,36.4,0.09,-5.0,-5.4
ITA-Serie A,2122,Empoli,38,47,490,151,30.8,12.89,3.97,0.08,0.26,7,7,44.9,39.3,0.08,2.1,0.7
ITA-Serie A,2122,Fiorentina,38,59,501,172,34.3,13.18,4.53,0.1,0.29,9,12,60.0,50.8,0.11,-1.0,-0.8
ITA-Serie A,2122,Genoa,38,26,397,106,26.7,10.45,2.79,0.05,0.19,6,7,37.2,31.8,0.08,-11.2,-11.8
ITA-Serie A,2122,Hellas Verona,38,63,455,152,33.4,11.97,4.0,0.12,0.37,7,8,50.4,44.2,0.1,12.6,11.8
ITA-Serie A,2122,Inter,38,83,667,239,35.8,17.55,6.29,0.11,0.32,7,11,81.6,73.6,0.11,1.4,2.4
ITA-Serie A,2122,Juventus,38,56,517,166,32.1,13.61,4.37,0.1,0.31,5,6,51.4,46.7,0.09,4.6,4.3
ITA-Serie A,2122,Lazio,38,74,445,185,41.6,11.71,4.87,0.15,0.36,7,9,55.3,48.2,0.11,18.7,18.8
ITA-Serie A,2122,Milan,38,66,592,187,31.6,15.58,4.92,0.1,0.33,5,8,59.7,54.1,0.09,6.3,6.9
ITA-Serie A,2122,Napoli,38,74,565,186,32.9,14.87,4.89,0.11,0.34,10,14,57.8,46.6,0.08,16.2,17.4
ITA-Serie A,2122,Roma,38,58,592,184,31.1,15.58,4.84,0.09,0.28,7,9,65.1,58.1,0.1,-7.1,-7.1
ITA-Serie A,2122,Salernitana,38,32,426,130,30.5,11.21,3.42,0.07,0.22,4,5,36.5,32.9,0.08,-4.5,-4.9
ITA-Serie A,2122,Sampdoria,38,42,386,118,30.6,10.16,3.11,0.1,0.34,2,4,36.7,33.4,0.09,5.3,6.6
