league,season,team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xa,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90
ITA-Serie A,2122,Atalanta,32,55.0,38,418,3420,62,48,5,6,87,2,62.4,58.1,48.5,1.63,1.26,2.89,1.5,2.76,1.64,1.28,2.92,1.53,2.81
ITA-Serie A,2122,Bologna,36,50.6,38,418,3420,43,34,4,5,92,7,44.9,41.0,33.6,1.13,0.89,2.03,1.03,1.92,1.18,0.88,2.06,1.08,1.96
ITA-Serie A,2122,Cagliari,33,44.5,38,418,3420,34,26,3,4,96,5,39.0,36.4,29.6,0.89,0.68,1.58,0.82,1.5,1.03,0.78,1.81,0.96,1.74
ITA-Serie A,2122,Empoli,28,47.4,38,418,3420,47,27,7,7,87,5,44.9,39.3,28.9,1.24,0.71,1.95,1.05,1.76,1.18,0.76,1.94,1.04,1.8
ITA-Serie A,2122,Fiorentina,28,57.7,38,418,3420,59,33,9,12,89,8,60.0,50.8,39.2,1.55,0.87,2.42,1.32,2.18,1.58,1.03,2.61,1.34,2.37
ITA-Serie A,2122,Genoa,40,43.9,38,418,3420,26,19,6,7,92,3,37.2,31.8,26.3,0.68,0.5,1.18,0.53,1.03,0.98,0.69,1.67,0.84,1.53
ITA-Serie A,2122,Hellas Verona,31,50.6,38,418,3420,63,44,7,8,100,7,50.4,44.2,34.1,1.66,1.16,2.82,1.47,2.63,1.33,0.9,2.23,1.16,2.06
ITA-Serie A,2122,Inter,27,56.5,38,418,3420,83,57,7,11,71,0,81.6,73.6,57.3,2.18,1.5,3.68,2.0,3.5,2.15,1.51,3.66,1.94,3.45
ITA-Serie A,2122,Juventus,32,51.5,38,418,3420,56,37,5,6,77,2,51.4,46.7,36.3,1.47,0.97,2.45,1.34,2.32,1.35,0.96,2.31,1.23,2.18
ITA-Serie A,2122,Lazio,27,55.4,38,418,3420,74,48,7,9,88,5,55.3,48.2,38.8,1.95,1.26,3.21,1.76,3.03,1.46,1.02,2.48,1.27,2.29
ITA-Serie A,2122,Milan,28,54.0,38,418,3420,66,39,5,8,76,3,59.7,54.1,42.8,1.74,1.03,2.76,1.61,2.63,1.57,1.13,2.7,1.42,2.55
