league,season,team,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors
ITA-Serie A,2122,vs Atalanta,683,407,385,234,64,307,679,45.2,372,515,184,331,429,721,8
ITA-Serie A,2122,vs Bologna,574,321,237,231,106,272,598,45.5,326,383,108,275,376,618,8
ITA-Serie A,2122,vs Cagliari,488,275,209,212,67,227,479,47.4,252,390,117,273,306,637,9
ITA-Serie A,2122,vs Empoli,590,361,283,215,92,255,546,46.7,291,434,142,292,377,706,7
ITA-Serie A,2122,vs Fiorentina,515,289,264,191,60,240,541,44.4,301,386,119,267,351,687,4
ITA-Serie A,2122,vs Genoa,651,370,277,304,70,278,580,47.9,302,418,105,313,350,736,7
ITA-Serie A,2122,vs Hellas Verona,659,367,305,287,67,276,589,46.9,313,425,117,308,425,569,16
ITA-Serie A,2122,vs Inter,461,251,230,172,59,216,471,45.9,255,447,172,275,395,832,8
ITA-Serie A,2122,vs Juventus,582,334,277,224,81,270,637,42.4,367,389,120,269,364,570,12
ITA-Serie A,2122,vs Lazio,547,319,243,223,81,274,608,45.1,334,351,89,262,399,621,14
ITA-Serie A,2122,vs Milan,635,352,318,250,67,323,779,41.5,456,431,158,273,356,722,16
ITA-Serie A,2122,vs Napoli,532,320,248,220,64,238,595,40.0,357,455,155,300,397,613,19
ITA-Serie A,2122,vs Roma,586,361,290,226,70,299,630,47.5,331,402,165,237,383,722,5
ITA-Serie A,2122,vs Salernitana,602,341,267,244,91,272,586,46.4,314,373,114,259,315,702,12
ITA-Serie A,2122,vs Sampdoria,464,276,177,196,91,194,422,46.0,228,410,108,302,363,631,7
ITA-Serie A,2122,vs Sassuolo,661,371,286,271,104,275,678,40.6,403,440,154,286,374,573,12
ITA-Serie A,2122,vs Spezia,607,366,270,234,103,254,546,46.5,292,388,105,283,334,514,7
ITA-Serie A,2122,vs Torino,502,284,267,190,45,216,511,42.3,295,390,123,267,300,625,9
ITA-Serie A,2122,vs Udinese,650,363,301,254,95,316,679,46.5,363,390,126,264,340,611,9
ITA-Serie A,2122,vs Venezia,589,341,251,246,92,276,576,47.9,300,377,82,295,370,560,5
ITA-Serie A,2223,vs Atalanta,742,458,420,245,77,355,695,51.1,340,454,133,321,360,704,9
ITA-Serie A,2223,vs Bologna,548,325,255,220,73,243,508,47.8,265,455,117,338,320,571,10
ITA-Serie A,2223,vs Cremonese,548,331,253,216,79,251,488,51.4,237,384,120,264,307,706,13
