league,season,team,players_used,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk
ITA-Serie A,2122,vs Atalanta,3,38,38,3420,65,1.71,172,110,65.1,11,11,16,9,23.7,6,5,0,1
ITA-Serie A,2122,vs Bologna,3,38,38,3420,44,1.16,147,104,72.8,16,10,12,12,31.6,5,4,0,1
ITA-Serie A,2122,vs Cagliari,2,38,38,3419,34,0.89,121,86,74.4,20,12,6,14,36.8,4,3,1,0
ITA-Serie A,2122,vs Empoli,1,38,38,3420,50,1.32,158,111,72.8,17,11,10,9,23.7,7,7,0,0
ITA-Serie A,2122,vs Fiorentina,2,38,38,3420,59,1.55,183,122,72.7,14,5,19,7,18.4,12,9,2,1
ITA-Serie A,2122,vs Genoa,2,38,38,3420,27,0.71,113,86,81.4,18,16,4,20,52.6,7,6,1,0
ITA-Serie A,2122,vs Hellas Verona,3,38,38,3420,65,1.71,159,96,63.5,13,11,14,6,15.8,8,7,0,1
ITA-Serie A,2122,vs Inter,2,38,38,3420,84,2.21,248,163,69.0,4,9,25,3,7.9,11,7,2,2
ITA-Serie A,2122,vs Juventus,3,38,38,3420,57,1.5,171,115,69.6,8,10,20,5,13.2,6,5,0,1
ITA-Serie A,2122,vs Lazio,2,38,38,3420,77,2.03,194,118,63.9,10,10,18,6,15.8,9,7,2,0
ITA-Serie A,2122,vs Milan,2,38,38,3420,69,1.82,193,126,66.8,4,8,26,4,10.5,8,5,1,2
ITA-Serie A,2122,vs Napoli,3,38,38,3420,74,1.95,199,122,67.8,7,7,24,4,10.5,14,10,3,1
ITA-Serie A,2122,vs Roma,1,38,38,3418,59,1.55,193,133,73.1,11,9,18,7,18.4,9,7,2,0
ITA-Serie A,2122,vs Salernitana,3,38,38,3420,33,0.87,135,102,78.5,21,10,7,16,42.1,5,4,1,0
ITA-Serie A,2122,vs Sampdoria,3,38,38,3420,46,1.21,122,78,63.9,22,6,10,12,31.6,4,2,2,0
ITA-Serie A,2122,vs Sassuolo,3,38,38,3420,64,1.68,211,151,73.0,14,11,13,6,15.8,7,7,0,0
ITA-Serie A,2122,vs Spezia,3,38,38,3420,41,1.08,131,92,71.0,22,6,10,10,26.3,5,3,1,1
ITA-Serie A,2122,vs Torino,3,38,38,3420,46,1.21,148,105,73.0,14,11,13,12,31.6,6,6,0,0
ITA-Serie A,2122,vs Udinese,2,38,38,3420,61,1.61,185,126,68.6,13,14,11,9,23.7,4,3,1,0
ITA-Serie A,2122,vs Venezia,3,38,38,3420,34,0.89,118,82,73.7,23,9,6,13,34.2,5,3,2,0
ITA-Serie A,2223,vs Atalanta,3,38,38,3420,66,1.74,176,110,65.9,12,7,19,8,21.1,8,6,2,0
ITA-Serie A,2223,vs Bologna,2,38,38,3418,53,1.4,156,104,69.9,12,12,14,8,21.1,6,6,0,0
ITA-Serie A,2223,vs Cremonese,3,38,38,3420,36,0.95,129,92,76.0,21,12,5,14,36.8,7,5,2,0
ITA-Serie A,2223,vs Empoli,3,38,38,3420,37,0.97,131,96,73.3,15,13,10,12,31.6,2,2,0,0
