league,season,team,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
ITA-Serie A,2122,vs Atalanta,13368,17503,76.4,240357,96471,6038,7014,86.1,5388,6478,83.2,1560,2901,53.8,29,32.0,-3.0,287,969,221,61,1122
ITA-Serie A,2122,vs Bologna,14275,17994,79.3,250698,89430,6556,7471,87.8,5582,6604,84.5,1627,2789,58.3,32,35.9,-3.9,396,1245,312,83,1454
ITA-Serie A,2122,vs Cagliari,15763,19924,79.1,276729,102189,7231,8273,87.4,6483,7634,84.9,1621,2904,55.8,41,43.6,-2.6,396,1173,382,88,1597
ITA-Serie A,2122,vs Empoli,14955,18693,80.0,270778,103998,6818,7698,88.6,5689,6745,84.3,1970,3134,62.9,44,48.2,-4.2,523,1209,418,107,1678
ITA-Serie A,2122,vs Fiorentina,11993,15395,77.9,211718,82263,5399,6137,88.0,4923,5761,85.5,1264,2443,51.7,33,30.3,2.7,261,714,198,53,979
ITA-Serie A,2122,vs Genoa,15866,20272,78.3,290094,105055,6924,8090,85.6,6679,7878,84.8,1900,3139,60.5,35,38.7,-3.7,388,1165,338,79,1572
ITA-Serie A,2122,vs Hellas Verona,12510,17056,73.3,224821,92542,5616,6705,83.8,4959,6187,80.2,1503,3030,49.6,38,35.5,2.5,350,983,282,94,1159
ITA-Serie A,2122,vs Inter,13450,16669,80.7,238181,85007,6154,6960,88.4,5370,6191,86.7,1535,2614,58.7,19,25.5,-6.5,298,856,227,63,1095
ITA-Serie A,2122,vs Juventus,15048,18611,80.9,259034,89304,7164,8073,88.7,5986,6954,86.1,1453,2545,57.1,21,24.3,-3.3,337,1213,288,81,1471
ITA-Serie A,2122,vs Lazio,15276,18668,81.8,278250,92944,6571,7369,89.2,6643,7517,88.4,1698,2822,60.2,40,34.3,5.7,347,954,308,88,1293
ITA-Serie A,2122,vs Milan,12864,16396,78.5,229255,94501,5935,6808,87.2,5054,6043,83.6,1490,2558,58.2,19,25.7,-6.7,305,985,229,62,1298
ITA-Serie A,2122,vs Napoli,12959,16201,80.0,232814,87453,5743,6523,88.0,5501,6279,87.6,1392,2506,55.5,19,25.2,-6.2,311,989,259,61,1254
ITA-Serie A,2122,vs Roma,14445,17956,80.4,250292,91379,6695,7514,89.1,5805,6688,86.8,1498,2655,56.4,23,26.2,-3.2,284,1046,231,62,1275
ITA-Serie A,2122,vs Salernitana,17458,21188,82.4,304735,104442,8056,8997,89.5,7042,8099,86.9,1828,2930,62.4,58,48.2,9.8,446,1346,395,90,1705
ITA-Serie A,2122,vs Sampdoria,15997,20027,79.9,276708,96554,7502,8431,89.0,6361,7517,84.6,1653,2905,56.9,41,38.0,3.0,398,1194,349,89,1548
ITA-Serie A,2122,vs Sassuolo,13305,16791,79.2,233994,91908,6061,6905,87.8,5321,6197,85.9,1427,2452,58.2,48,50.0,-2.0,412,962,351,89,1363
ITA-Serie A,2122,vs Spezia,16843,20741,81.2,295820,104909,7556,8589,88.0,7123,8112,87.8,1671,2875,58.1,44,44.5,-0.5,484,1334,371,88,1654
ITA-Serie A,2122,vs Torino,11475,15759,72.8,212519,91416,4958,6028,82.2,4659,5818,80.1,1510,2969,50.9,25,25.2,-0.2,281,875,217,58,1027
ITA-Serie A,2122,vs Udinese,16858,20623,81.7,303330,104121,7197,8138,88.4,7450,8452,88.1,1794,2903,61.8,39,36.9,2.1,347,1269,304,86,1573
ITA-Serie A,2122,vs Venezia,17187,21142,81.3,307341,105540,7550,8576,88.0,7173,8237,87.1,1961,3108,63.1,39,47.9,-8.9,488,1414,427,114,1719
