league,season,team,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
ITA-Serie A,2122,vs Atalanta,17503,15571,1863,555,47,116,468,737,134,60,39,1,13368,69,366
ITA-Serie A,2122,vs Bologna,17994,16245,1661,465,39,153,680,691,167,66,74,1,14275,88,297
ITA-Serie A,2122,vs Cagliari,19924,17954,1894,586,56,123,693,786,199,68,78,1,15763,76,330
ITA-Serie A,2122,vs Empoli,18693,16720,1907,561,48,250,787,743,217,91,76,0,14955,66,327
ITA-Serie A,2122,vs Fiorentina,15395,13564,1712,506,54,77,437,657,127,48,57,0,11993,119,292
ITA-Serie A,2122,vs Genoa,20272,18174,2039,609,35,157,648,888,192,60,87,2,15866,59,410
ITA-Serie A,2122,vs Hellas Verona,17056,14925,2099,630,30,87,682,850,187,72,79,1,12510,32,368
ITA-Serie A,2122,vs Inter,16669,14983,1652,503,21,112,516,562,131,63,50,0,13450,34,290
ITA-Serie A,2122,vs Juventus,18611,16719,1857,556,22,123,730,682,197,81,77,0,15048,35,311
ITA-Serie A,2122,vs Lazio,18668,16963,1632,463,36,178,602,651,146,63,46,0,15276,73,309
ITA-Serie A,2122,vs Milan,16396,14572,1761,526,25,167,533,650,159,74,63,1,12864,63,298
ITA-Serie A,2122,vs Napoli,16201,14495,1646,507,37,120,552,603,145,58,69,0,12959,60,301
ITA-Serie A,2122,vs Roma,17956,16098,1777,535,24,132,504,684,133,53,64,0,14445,81,340
ITA-Serie A,2122,vs Salernitana,21188,19440,1685,496,57,185,745,669,233,92,101,1,17458,63,292
ITA-Serie A,2122,vs Sampdoria,20027,18196,1767,550,42,141,764,683,215,74,84,3,15997,64,311
ITA-Serie A,2122,vs Sassuolo,16791,14939,1710,470,53,123,670,671,196,71,89,2,13305,142,342
ITA-Serie A,2122,vs Spezia,20741,18778,1901,542,36,128,710,830,214,96,92,0,16843,62,334
