league,season,team,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles,dribbles_completed,dribbles_completed_pct,dribbles_tackled,dribbles_tackled_pct,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
ITA-Serie A,2122,vs Atalanta,21980,2922,8407,9524,4272,611,21974,635,336,52.9,299,47.1,11343,58106,26857,514,367,144,657,331,13208,1103
ITA-Serie A,2122,vs Bologna,22069,2103,6135,9931,6221,876,22061,531,312,58.8,216,40.7,12486,66971,35717,790,591,199,643,314,14154,1446
ITA-Serie A,2122,vs Cagliari,23942,2208,7251,11080,5841,912,23932,545,314,57.6,230,42.2,12644,69161,36888,713,500,150,655,327,15634,1586
ITA-Serie A,2122,vs Empoli,23120,2464,7208,9514,6634,1132,23110,606,333,55.0,273,45.0,12901,69575,35694,823,559,267,655,295,14820,1665
ITA-Serie A,2122,vs Fiorentina,19162,2819,7794,8009,3575,593,19157,541,272,50.3,268,49.5,10277,51793,24887,480,352,123,558,240,11875,971
ITA-Serie A,2122,vs Genoa,24827,2343,7825,11265,5983,908,24821,727,378,52.0,349,48.0,14100,69920,34552,684,517,165,670,390,15731,1560
ITA-Serie A,2122,vs Hellas Verona,21246,2399,6985,9678,4855,773,21242,557,319,57.3,238,42.7,11333,60116,28375,568,474,150,668,296,12349,1141
ITA-Serie A,2122,vs Inter,20754,2862,7712,9059,4209,606,20750,545,298,54.7,247,45.3,11791,60314,29576,569,497,118,522,341,13372,1088
ITA-Serie A,2122,vs Juventus,22486,2318,6536,10230,5924,704,22479,529,293,55.4,236,44.6,13023,67673,34838,719,589,141,599,319,14939,1464
ITA-Serie A,2122,vs Lazio,22493,2709,8413,9788,4540,751,22487,621,383,61.7,239,38.5,13377,65312,32244,579,442,129,535,340,15165,1276
ITA-Serie A,2122,vs Milan,20652,2592,7383,9057,4455,603,20647,584,302,51.7,281,48.1,11138,61760,29705,542,439,101,686,416,12736,1288
ITA-Serie A,2122,vs Napoli,20179,2498,6985,8946,4466,661,20178,617,349,56.6,268,43.4,11021,59028,29096,565,434,135,567,282,12847,1239
ITA-Serie A,2122,vs Roma,22109,2591,7351,10357,4604,593,22102,622,339,54.5,283,45.5,12551,66806,34594,646,444,121,639,330,14320,1267
ITA-Serie A,2122,vs Salernitana,25328,2196,7169,11831,6586,1016,25320,579,302,52.2,277,47.8,14843,77965,41987,840,580,209,566,264,17340,1700
ITA-Serie A,2122,vs Sampdoria,24105,2253,7288,10949,6118,950,24101,631,341,54.0,288,45.6,13432,68720,35731,807,556,201,597,274,15863,1534
ITA-Serie A,2122,vs Sassuolo,20881,2323,6853,8932,5316,1017,20872,575,338,58.8,236,41.0,11391,62270,34116,699,423,211,539,246,13193,1351
ITA-Serie A,2122,vs Spezia,24792,2026,7044,11597,6374,1021,24779,586,319,54.4,266,45.4,14664,77163,40295,722,568,210,608,314,16707,1641
ITA-Serie A,2122,vs Torino,19609,2272,7133,8527,4172,624,19598,440,212,48.2,228,51.8,9721,51681,24765,468,344,110,661,303,11283,1013
ITA-Serie A,2122,vs Udinese,24770,2232,7241,12655,5095,816,24763,643,359,55.8,284,44.2,14420,72601,38121,677,441,149,622,338,16708,1558
ITA-Serie A,2122,vs Venezia,25297,2008,6865,11582,7094,1160,25285,626,353,56.4,273,43.6,14770,76301,39452,807,592,199,588,340,17076,1714
ITA-Serie A,2223,vs Atalanta,23959,2679,8426,10783,5000,676,23956,725,322,44.4,312,43.0,13393,70284,33667,595,462,130,643,324,15247,1249
ITA-Serie A,2223,vs Bologna,20920,2107,6409,9518,5212,783,20911,714,321,45.0,297,41.6,11513,59874,28967,565,472,142,584,351,13073,1284
ITA-Serie A,2223,vs Cremonese,25307,2394,8254,11287,6015,924,25302,813,365,44.9,365,44.9,14638,78631,40901,763,556,187,615,340,16758,1604
ITA-Serie A,2223,vs Empoli,23087,2123,6800,9913,6578,1006,23081,635,284,44.7,254,40.0,13184,73206,38505,830,549,195,564,352,14982,1673
ITA-Serie A,2223,vs Fiorentina,19129,3071,8474,7528,3371,607,19121,608,249,41.0,282,46.4,9717,51482,24689,476,312,144,536,299,11190,914
ITA-Serie A,2223,vs Hellas Verona,24226,2373,7679,11303,5461,873,24224,639,266,41.6,296,46.3,12957,69551,33421,603,444,160,655,309,15465,1480
ITA-Serie A,2223,vs Inter,21038,2635,7221,9290,4729,645,21035,597,265,44.4,258,43.2,11523,62322,32192,697,511,140,533,314,13561,1216
ITA-Serie A,2223,vs Juventus,23194,2462,7057,10622,5775,657,23189,640,270,42.2,288,45.0,13518,73161,38157,744,618,126,580,306,15520,1349
ITA-Serie A,2223,vs Lazio,23748,2616,8902,10305,4791,705,23746,713,348,48.8,277,38.8,14398,71206,33098,598,404,140,523,305,16340,1289
ITA-Serie A,2223,vs Lecce,24777,2385,8177,11453,5384,737,24771,695,300,43.2,319,45.9,14020,72665,37040,613,468,129,678,386,16022,1395
ITA-Serie A,2223,vs Milan,20064,2473,7081,8724,4483,601,20059,640,263,41.1,300,46.9,11032,59150,27918,546,445,108,628,390,12100,1157
ITA-Serie A,2223,vs Monza,20566,2054,6119,9384,5287,840,20563,618,291,47.1,260,42.1,11585,66080,35083,768,512,166,600,335,13124,1437
ITA-Serie A,2223,vs Napoli,19204,2773,7705,7898,3809,583,19202,592,266,44.9,255,43.1,10134,52064,25529,509,365,129,531,314,11546,1007
ITA-Serie A,2223,vs Roma,23002,2411,7276,10953,4983,514,22999,683,328,48.0,289,42.3,13621,72183,35372,635,518,121,576,335,15252,1348
ITA-Serie A,2223,vs Salernitana,24286,2070,6937,11876,5712,946,24275,671,310,46.2,259,38.6,14256,76529,39615,770,559,194,534,328,16414,1613
ITA-Serie A,2223,vs Sampdoria,23745,2211,7297,10812,5910,973,23734,655,297,45.3,261,39.8,13675,72031,36351,723,561,177,529,328,15639,1593
ITA-Serie A,2223,vs Sassuolo,22837,2606,8014,9972,5051,812,22833,539,245,45.5,216,40.1,13318,69964,37124,672,435,173,532,286,15214,1335
ITA-Serie A,2223,vs Spezia,22994,2255,7523,10042,5652,965,22987,668,315,47.2,254,38.0,12494,68637,34429,671,498,197,594,368,14324,1431
ITA-Serie A,2223,vs Torino,20896,2507,7769,8956,4388,672,20890,438,168,38.4,199,45.4,11272,57331,26345,524,411,133,592,274,12779,1089
ITA-Serie A,2223,vs Udinese,22575,2185,6867,10696,5249,754,22568,721,306,42.4,326,45.2,12573,67401,35047,631,508,124,552,325,14778,1451
ITA-Serie A,2324,vs Atalanta,23459,2653,8277,10686,4722,611,23450,667,306,45.9,291,43.6,12100,64625,30581,559,407,129,634,322,15025,1163
ITA-Serie A,2324,vs Bologna,20260,2078,6258,9632,4581,651,20253,637,276,43.3,303,47.6,11050,61534,30801,590,397,146,572,330,12820,1219
ITA-Serie A,2324,vs Cagliari,24480,2364,7605,11414,5656,856,24475,583,261,44.8,264,45.3,13814,77492,41428,761,539,166,555,276,16459,1581
ITA-Serie A,2324,vs Empoli,23885,2336,7804,10245,6018,943,23877,633,264,41.7,300,47.4,13609,71457,35923,678,504,196,570,318,15815,1556
ITA-Serie A,2324,vs Fiorentina,19019,2838,8090,7772,3347,594,19010,571,237,41.5,275,48.2,9941,51251,23265,444,322,118,493,289,11221,977
ITA-Serie A,2324,vs Frosinone,21985,2355,7214,9898,5093,837,21977,576,272,47.2,253,43.9,11739,64858,31489,688,472,169,537,292,13842,1323
