league,season,team,90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net
ITA-Serie A,2122,vs Atalanta,38,45,385,134,34.8,10.13,3.53,0.1,0.3,5,6,45.3,40.5,0.11,-0.3,-0.5
ITA-Serie A,2122,vs Bologna,38,53,531,175,33.0,13.97,4.61,0.08,0.26,8,9,52.6,45.3,0.09,0.4,-0.3
ITA-Serie A,2122,vs Cagliari,38,67,545,175,32.1,14.34,4.61,0.11,0.34,7,10,61.0,53.2,0.1,6.0,6.8
ITA-Serie A,2122,vs Empoli,38,64,658,209,31.8,17.32,5.5,0.09,0.28,5,10,66.0,58.4,0.09,-2.0,0.6
ITA-Serie A,2122,vs Fiorentina,38,49,351,121,34.5,9.24,3.18,0.13,0.38,3,5,40.6,37.1,0.11,8.4,8.9
ITA-Serie A,2122,vs Genoa,38,58,536,179,33.4,14.11,4.71,0.1,0.3,4,5,54.1,50.1,0.1,3.9,3.9
ITA-Serie A,2122,vs Hellas Verona,38,57,470,155,33.0,12.37,4.08,0.11,0.35,3,4,49.0,45.7,0.1,8.0,8.3
ITA-Serie A,2122,vs Inter,38,31,398,123,30.9,10.47,3.24,0.07,0.22,4,4,39.1,36.0,0.09,-8.1,-9.0
ITA-Serie A,2122,vs Juventus,38,36,438,116,26.5,11.53,3.05,0.07,0.28,4,7,38.1,32.5,0.08,-2.1,-0.5
ITA-Serie A,2122,vs Lazio,38,57,464,141,30.4,12.21,3.71,0.11,0.37,5,6,47.7,43.0,0.09,9.3,9.0
ITA-Serie A,2122,vs Milan,38,29,396,120,30.3,10.42,3.16,0.06,0.21,4,5,35.9,32.1,0.08,-6.9,-7.1
ITA-Serie A,2122,vs Napoli,38,30,418,135,32.3,11.0,3.55,0.07,0.21,1,1,32.5,31.8,0.08,-2.5,-2.8
ITA-Serie A,2122,vs Roma,38,41,369,140,37.9,9.71,3.68,0.1,0.26,5,6,38.4,33.6,0.09,2.6,2.4
ITA-Serie A,2122,vs Salernitana,38,76,583,214,36.7,15.34,5.63,0.12,0.33,6,8,65.2,59.1,0.1,10.8,10.9
ITA-Serie A,2122,vs Sampdoria,38,61,552,181,32.8,14.53,4.76,0.11,0.32,3,4,56.1,53.0,0.1,4.9,5.0
ITA-Serie A,2122,vs Sassuolo,38,65,523,168,32.1,13.76,4.42,0.11,0.34,8,9,66.4,59.3,0.12,-1.4,-2.3
ITA-Serie A,2122,vs Spezia,38,68,630,197,31.3,16.58,5.18,0.09,0.29,10,13,64.4,54.4,0.09,3.6,3.6
ITA-Serie A,2122,vs Torino,38,41,384,113,29.4,10.11,2.97,0.08,0.28,9,11,38.9,30.3,0.08,2.1,1.7
ITA-Serie A,2122,vs Udinese,38,57,462,157,34.0,12.16,4.13,0.11,0.33,5,7,52.4,47.2,0.11,4.6,4.8
ITA-Serie A,2122,vs Venezia,38,67,666,217,32.6,17.53,5.71,0.08,0.26,11,12,71.8,63.8,0.1,-4.8,-7.8
ITA-Serie A,2223,vs Atalanta,38,46,447,150,33.6,11.76,3.95,0.1,0.29,3,3,41.4,39.2,0.09,4.6,3.8
ITA-Serie A,2223,vs Bologna,38,46,474,156,32.9,12.47,4.11,0.08,0.25,7,9,48.7,41.7,0.09,-2.7,-2.7
ITA-Serie A,2223,vs Cremonese,38,68,576,220,38.2,15.16,5.79,0.11,0.29,5,5,66.1,62.2,0.11,1.9,0.8
ITA-Serie A,2223,vs Empoli,38,48,607,154,25.4,15.97,4.05,0.07,0.29,4,6,58.3,53.7,0.09,-10.3,-9.7
ITA-Serie A,2223,vs Fiorentina,38,41,338,112,33.1,8.89,2.95,0.1,0.3,7,8,43.4,37.4,0.11,-2.4,-3.4
