league,season,team,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xa,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90
ITA-Serie A,2122,vs Atalanta,32,44.9,38,418,3420,45,29,5,6,94,1,45.3,40.5,32.0,1.18,0.76,1.95,1.05,1.82,1.19,0.84,2.03,1.07,1.91
ITA-Serie A,2122,vs Bologna,36,49.3,38,418,3420,53,32,8,9,83,4,52.6,45.3,35.9,1.39,0.84,2.24,1.18,2.03,1.38,0.95,2.33,1.19,2.14
ITA-Serie A,2122,vs Cagliari,33,55.6,38,418,3420,67,41,7,10,74,5,61.0,53.2,43.6,1.76,1.08,2.84,1.58,2.66,1.6,1.15,2.75,1.4,2.55
ITA-Serie A,2122,vs Empoli,28,52.9,38,418,3420,64,44,5,10,80,1,66.0,58.4,48.2,1.68,1.16,2.84,1.55,2.71,1.74,1.27,3.01,1.54,2.81
ITA-Serie A,2122,vs Fiorentina,28,41.8,38,418,3420,49,33,3,5,103,4,40.6,37.1,30.3,1.29,0.87,2.16,1.21,2.08,1.07,0.8,1.87,0.98,1.77
ITA-Serie A,2122,vs Genoa,40,56.1,38,418,3420,58,35,4,5,82,1,54.1,50.1,38.7,1.53,0.92,2.45,1.42,2.34,1.42,1.02,2.44,1.32,2.34
ITA-Serie A,2122,vs Hellas Verona,31,49.4,38,418,3420,57,38,3,4,74,3,49.0,45.7,35.5,1.5,1.0,2.5,1.42,2.42,1.29,0.94,2.23,1.2,2.14
ITA-Serie A,2122,vs Inter,27,43.4,38,418,3420,31,19,4,4,79,5,39.1,36.0,25.5,0.82,0.5,1.32,0.71,1.21,1.03,0.67,1.7,0.95,1.62
ITA-Serie A,2122,vs Juventus,32,48.3,38,418,3420,36,21,4,7,94,4,38.1,32.5,24.3,0.95,0.55,1.5,0.84,1.39,1.0,0.64,1.64,0.86,1.5
ITA-Serie A,2122,vs Lazio,27,44.4,38,418,3420,57,40,5,6,100,7,47.7,43.0,34.3,1.5,1.05,2.55,1.37,2.42,1.25,0.9,2.16,1.13,2.03
ITA-Serie A,2122,vs Milan,28,45.8,38,418,3420,29,19,4,5,91,6,35.9,32.1,25.7,0.76,0.5,1.26,0.66,1.16,0.95,0.68,1.62,0.84,1.52
ITA-Serie A,2122,vs Napoli,27,41.5,38,418,3420,30,19,1,1,101,9,32.5,31.8,25.2,0.79,0.5,1.29,0.76,1.26,0.85,0.66,1.52,0.84,1.5
ITA-Serie A,2122,vs Roma,29,48.6,38,418,3420,41,23,5,6,106,8,38.4,33.6,26.2,1.08,0.61,1.68,0.95,1.55,1.01,0.69,1.7,0.89,1.57
