season,matchday,player,team,oppteam,home,vote,goals,assists,cards_malus,fantavote
2021_22,1,Musso,Atalanta,Pisa,1,6.0,-1,0,0.5,4.5
2021_22,1,Pezzella Giu.,Atalanta,Pisa,1,6.0,0,0,0.0,6.0
2021_22,1,Djimsiti,Atalanta,Pisa,1,6.0,0,0,0.0,6.0
2021_22,1,Gosens,Atalanta,Pisa,1,5.5,0,0,0.0,5.5
2021_22,1,Palomino,Atalanta,Pisa,1,7.0,0,0,0.0,7.0
2021_22,1,Demiral,Atalanta,Pisa,1,6.0,0,0,0.5,5.5
2021_22,1,Maehle,Atalanta,Pisa,1,5.5,0,0,0.0,5.5
2021_22,1,Pasalic,Atalanta,Pisa,1,6.5,0,1,0.0,7.5
2021_22,1,Pessina,Atalanta,Pisa,1,6.0,0,0,0.0,6.0
2021_22,1,Malinovskyi,Atalanta,Pisa,1,5.5,0,0,0.0,5.5
2021_22,1,Miranchuk,Atalanta,Pisa,1,5.5,0,0,0.0,5.5
2021_22,1,Ilicic,Atalanta,Pisa,1,6.5,0,0,0.0,6.5
2021_22,1,Muriel,Atalanta,Pisa,1,7.0,1,0,0.0,10.0
2021_22,1,Piccoli,Atalanta,Pisa,1,7.0,1,0,0.0,10.0
2021_22,1,Lammers,Atalanta,Pisa,1,6.0,0,0,0.0,6.0
2021_22,1,Skorupski,Bologna,Roma,0,6.0,-2,0,0.0,4.0
2021_22,1,De Silvestri,Bologna,Roma,0,8.0,2,0,0.0,14.0
2021_22,1,Bonifazi,Bologna,Roma,0,5.5,0,0,0.5,5.0
2021_22,1,Hickey,Bologna,Roma,0,5.5,0,0,0.0,5.5
2021_22,1,Medel,Bologna,Roma,0,6.0,0,0,0.0,6.0
2021_22,1,Vignato,Bologna,Roma,0,6.0,0,0,0.0,6.0
2021_22,1,Orsolini,Bologna,Roma,0,6.5,0,1,0.0,7.5
2021_22,1,Soriano,Bologna,Roma,0,4.5,0,0,1.0,3.5
2021_22,1,Schouten,Bologna,Roma,0,5.5,0,1,1.0,5.5
2021_22,1,Dominguez,Bologna,Roma,0,6.0,0,0,0.0,6.0
2021_22,1,Sansone,Bologna,Roma,0,6.5,0,1,0.5,7.0
2021_22,1,Barrow,Bologna,Roma,0,5.0,0,0,0.0,5.0
2021_22,1,Arnautovic,Bologna,Roma,0,7.0,1,0,0.0,10.0
2021_22,1,Cragno,Cagliari,Fiorentina,1,5.5,-2,0,0.0,3.5
2021_22,1,Ceppitelli,Cagliari,Fiorentina,1,6.0,0,0,0.0,6.0
2021_22,1,Dalbert,Cagliari,Fiorentina,1,5.5,0,0,0.0,5.5
2021_22,1,Godin,Cagliari,Fiorentina,1,5.5,0,0,0.0,5.5
2021_22,1,Walukiewicz,Cagliari,Fiorentina,1,5.0,0,0,0.0,5.0
2021_22,1,Zappa,Cagliari,Fiorentina,1,5.5,0,0,0.5,5.0
2021_22,1,Carboni,Cagliari,Fiorentina,1,5.5,0,0,0.0,5.5
2021_22,1,Strootman,Cagliari,Fiorentina,1,6.0,0,0,0.5,5.5
2021_22,1,Deiola,Cagliari,Fiorentina,1,5.5,0,0,0.0,5.5
2021_22,1,Nandez,Cagliari,Fiorentina,1,7.0,0,0,0.0,7.0
2021_22,1,Pereiro,Cagliari,Fiorentina,1,5.5,0,0,0.0,5.5
2021_22,1,Marin,Cagliari,Fiorentina,1,6.0,0,1,0.0,7.0
2021_22,1,Pavoletti,Cagliari,Fiorentina,1,6.0,0,0,0.0,6.0
2021_22,1,Joao Pedro,Cagliari,Fiorentina,1,7.5,2,0,0.0,13.5
2021_22,1,Vicario,Empoli,Monza,1,5.0,-3,0,0.0,2.0
2021_22,1,Romagnoli S.,Empoli,Monza,1,5.0,0,0,0.0,5.0
2021_22,1,Marchizza,Empoli,Monza,1,5.5,0,0,0.0,5.5
2021_22,1,Ismajli,Empoli,Monza,1,6.0,0,0,0.5,5.5
2021_22,1,Stojanovic,Empoli,Monza,1,6.5,0,0,0.5,6.0
2021_22,1,Haas,Empoli,Monza,1,6.0,0,0,0.0,6.0
2021_22,1,Bandinelli,Empoli,Monza,1,7.0,1,0,0.0,10.0
2021_22,1,Crociata,Empoli,Monza,1,6.0,0,0,0.0,6.0
2021_22,1,Zurkowski,Empoli,Monza,1,6.0,0,0,0.0,6.0
2021_22,1,Henderson L.,Empoli,Monza,1,6.0,0,0,0.0,6.0
2021_22,1,Bajrami,Empoli,Monza,1,7.0,0,1,0.0,8.0
2021_22,1,Ricci S.,Empoli,Monza,1,6.0,0,0,0.0,6.0
2021_22,1,Cutrone,Empoli,Monza,1,5.5,0,0,0.0,5.5
2021_22,1,Mancuso,Empoli,Monza,1,5.5,0,0,0.0,5.5
2021_22,1,Dragowski,Fiorentina,Cagliari,0,4.0,0,0,1.0,3.0
2021_22,1,Terracciano,Fiorentina,Cagliari,0,6.0,-3,0,0.0,3.0
2021_22,1,Biraghi,Fiorentina,Cagliari,0,6.0,0,0,0.0,6.0
2021_22,1,Milenkovic,Fiorentina,Cagliari,0,6.5,1,0,0.0,9.5
2021_22,1,Venuti,Fiorentina,Cagliari,0,5.0,0,0,0.0,5.0
2021_22,1,Igor,Fiorentina,Cagliari,0,5.0,0,0,0.0,5.0
2021_22,1,Bonaventura,Fiorentina,Cagliari,0,6.0,0,0,0.5,5.5
2021_22,1,Callejon,Fiorentina,Cagliari,0,6.0,0,0,0.0,6.0
2021_22,1,Benassi,Fiorentina,Cagliari,0,6.0,0,0,0.0,6.0
2021_22,1,Pulgar,Fiorentina,Cagliari,0,6.0,0,1,0.5,6.5
2021_22,1,Castrovilli,Fiorentina,Cagliari,0,5.5,0,0,0.0,5.5
2021_22,1,Maleh,Fiorentina,Cagliari,0,5.5,0,0,0.0,5.5
